,name,position,age,value,changed,nat,club
84,ZinedineFerhat,RightMidfield,27,€6.00m,15.10.2020,Algeria,Nîmes Olympique
85,GhislainKonan,Left-Back,24,€6.00m,15.10.2020,Cote d'Ivoire,Stade Reims
86,RomainDelCastillo,RightWinger,24,€6.00m,15.10.2020,France,Stade Rennais FC
87,JonasOmlin,Goalkeeper,26,€6.00m,15.10.2020,Switzerland,Montpellier HSC
88,GaëlKakuta,AttackingMidfield,29,€6.00m,15.10.2020,DR Congo,RC Lens
89,PedroMendes,Centre-Back,30,€6.00m,15.10.2020,Portugal,Montpellier HSC
90,KevinStrootman,CentralMidfield,30,€6.00m,15.10.2020,Netherlands,Olympique Marseille
91,TeremMoffi,Centre-Forward,21,€6.00m,15.10.2020,Nigeria,FC Lorient
92,PanagiotisRetsos,Centre-Back,22,€6.00m,15.10.2020,Greece,AS Saint-Étienne
93,KhéphrenThuram,DefensiveMidfield,19,€5.50m,15.10.2020,France,OGC Nice
94,StéphaneBahoken,Centre-Forward,28,€6.00m,15.10.2020,Cameroon,SCO Angers
95,ArnaudNordin,LeftWinger,22,€5.00m,15.10.2020,France,AS Saint-Étienne
96,IbrahimaSissoko,DefensiveMidfield,23,€6.00m,15.10.2020,France,RC Strasbourg Alsace
97,BrandonSoppy,Right-Back,18,€5.00m,15.10.2020,France,Stade Rennais FC
98,ThomasFoket,Right-Back,26,€5.50m,15.10.2020,Belgium,Stade Reims
99,ArbërZeneli,LeftWinger,25,€5.00m,15.10.2020,Kosovo,Stade Reims
100,NemanjaRadonjic,LeftWinger,24,€5.50m,15.10.2020,Serbia,Olympique Marseille
101,AndreiGirotto,Centre-Back,28,€5.00m,15.10.2020,Brazil,FC Nantes
102,NathanaëlMbuku,LeftWinger,18,€5.00m,15.10.2020,France,Stade Reims
103,AdamaSoumaoro,Centre-Back,28,€5.00m,15.10.2020,France,LOSC Lille
104,AndyPelmard,Centre-Back,20,€5.00m,15.10.2020,France,OGC Nice
105,RomainPerraud,Left-Back,23,€5.00m,15.10.2020,France,Stade Brest 29
106,ChristopheHérelle,Centre-Back,28,€5.00m,15.10.2020,France,Stade Brest 29
107,EnzoLeFée,CentralMidfield,20,€4.50m,15.10.2020,France,FC Lorient
108,JamesLéaSiliki,CentralMidfield,24,€5.00m,15.10.2020,France,Stade Rennais FC
109,XavierChavalerin,DefensiveMidfield,29,€4.50m,15.10.2020,France,Stade Reims
110,FabienCentonze,Right-Back,24,€5.00m,15.10.2020,France,FC Metz
111,ClémentGrenier,CentralMidfield,29,€4.20m,15.10.2020,France,Stade Rennais FC
112,ArthurZagre,Left-Back,19,€5.00m,15.10.2020,France,Dijon FCO
113,MelvinBard,Left-Back,20,€4.00m,15.10.2020,France,Olympique Lyon
114,YoaneWissa,LeftWinger,24,€5.00m,15.10.2020,DR Congo,FC Lorient
115,Jean-RicnerBellegarde,CentralMidfield,22,€4.00m,15.10.2020,France,RC Strasbourg Alsace
116,DylanBronn,Centre-Back,25,€4.50m,15.10.2020,Tunisia,FC Metz
117,HaroldMoukoudi,Centre-Back,22,€4.00m,15.10.2020,Cameroon,AS Saint-Étienne
118,TimothéeKolodziejczak,Centre-Back,29,€4.50m,15.10.2020,France,AS Saint-Étienne
119,HabibMaïga,DefensiveMidfield,24,€4.00m,15.10.2020,Cote d'Ivoire,FC Metz
120,RenaudRipart,RightMidfield,27,€4.00m,15.10.2020,France,Nîmes Olympique
121,NicolasCozza,Centre-Back,21,€3.50m,15.10.2020,France,Montpellier HSC
122,OpaNguette,LeftWinger,26,€4.00m,15.10.2020,Senegal,FC Metz
123,MamaBaldé,RightWinger,25,€3.50m,15.10.2020,Guinea-Bissau,Dijon FCO
124,PapeCheikh,CentralMidfield,23,€4.00m,15.10.2020,Senegal,Dijon FCO
125,MahdiCamara,CentralMidfield,22,€3.50m,15.10.2020,France,AS Saint-Étienne
126,YoussefAïtBennasser,CentralMidfield,24,€4.00m,15.10.2020,Morocco,AS Monaco
127,MamadouFofana,Centre-Back,22,€3.50m,15.10.2020,Mali,FC Metz
128,AndrésCubas,DefensiveMidfield,24,€4.00m,15.10.2020,Paraguay,Nîmes Olympique
129,IsaacLihadji,RightWinger,18,€3.50m,15.10.2020,France,LOSC Lille
130,MitchelBakker,Left-Back,20,€3.50m,15.10.2020,Netherlands,Paris Saint-Germain
131,DarioMaresic,Centre-Back,21,€3.50m,15.10.2020,Austria,Stade Reims
132,SadaThioub,RightWinger,25,€3.50m,15.10.2020,Senegal,SCO Angers
133,LorisBenito,Left-Back,28,€3.50m,15.10.2020,Switzerland,FC Girondins Bordeaux
134,WuilkerFariñez,Goalkeeper,22,€3.50m,15.10.2020,Venezuela,RC Lens
135,DidierNdong,CentralMidfield,26,€3.50m,15.10.2020,Gabon,Dijon FCO
136,CheickDoucouré,DefensiveMidfield,20,€3.50m,15.10.2020,Mali,RC Lens
137,AntoninBobichon,CentralMidfield,25,€3.50m,15.10.2020,France,SCO Angers
138,AnthonyCaci,Left-Back,23,€3.50m,15.10.2020,France,RC Strasbourg Alsace
139,KalifaCoulibaly,Centre-Forward,29,€3.20m,15.10.2020,Mali,FC Nantes
140,HatemBenArfa,AttackingMidfield,33,€3.50m,15.10.2020,FranceFC, Girondins Bordeaux
141,KajSierhuis,Centre-Forward,22,€3.00m,15.10.2020,Netherlands,Stade Reims
142,EnockKwateng,Right-Back,23,€3.50m,15.10.2020,France,FC Girondins Bordeaux
143,CharlesAbi,Centre-Forward,20,€3.00m,15.10.2020,France,AS Saint-Étienne
144,AnthonyBriancon,Centre-Back,25,€3.50m,15.10.2020,France,Nîmes Olympique
