,name,position,age,value,changed,nat,club
67,BasDost,Centre-Forward,31,€5.50m,16.09.2020,Netherlands,Eintracht Frankfurt
68,AdmirMehmedi,SecondStriker,29,€6.00m,16.09.2020,Switzerland,VfL Wolfsburg
69,GregorKobel,Goalkeeper,22,€5.50m,16.09.2020,Switzerland,VfB Stuttgart
70,JonasHector,DefensiveMidfield,30,€6.00m,16.09.2020,Germany,1. FC Köln
71,LarsStindl,SecondStriker,32,€5.00m,16.09.2020,Germany,Borussia Mönchengladbach
72,RobinKnoche,Centre-Back,28,€5.50m,16.09.2020,Germany,1.FC Union Berlin
73,DeyovaisioZeefuik,Right-Back,22,€5.00m,16.09.2020,Netherlands,Hertha BSC
74,DaleySinkgraven,Left-Back,25,€5.00m,16.09.2020,Netherlands,Bayer 04 Leverkusen
75,SebastianRudy,DefensiveMidfield,30,€4.50m,16.09.2020,Germany,TSG 1899 Hoffenheim
76,NilsPetersen,Centre-Forward,31,€5.00m,16.09.2020,Germany,SC Freiburg
77,MichaelGregoritsch,SecondStriker,26,€4.50m,16.09.2020,Austria,FC Augsburg
78,MarvinPlattenhardt,Left-Back,28,€5.00m,16.09.2020,Germany,Hertha BSC
79,MaxenceLacroix,Centre-Back,20,€4.00m,16.09.2020,France,VfL Wolfsburg
80,JetroWillems,Left-Back,26,€4.50m,16.09.2020,Netherlands,Eintracht Frankfurt
81,ErmedinDemirovic,Centre-Forward,22,€4.00m,16.09.2020,Bosnia-Herzegovina,SC Freiburg
82,RenatoSteffen,RightWinger,29,€4.50m,16.09.2020,Switzerland,VfL Wolfsburg
83,BenjaminHübner,Centre-Back,31,€4.00m,16.09.2020,Germany,TSG 1899 Hoffenheim
84,AlfredFinnbogason,Centre-Forward,31,€4.00m,16.09.2020,Iceland,FC Augsburg
85,AlessandroSchöpf,RightMidfield,26,€3.50m,16.09.2020,Austria,FC Schalke 04
86,JorgeMeré,Centre-Back,23,€4.00m,16.09.2020,Spain,1. FC Köln
87,DanielCaligiuri,RightMidfield,32,€3.00m,16.09.2020,Italy,FC Augsburg
88,FlorianKainz,LeftWinger,28,€4.00m,16.09.2020,Austria,1. FC Köln
89,StevenZuber,LeftMidfield,29,€3.00m,16.09.2020,Switzerland,Eintracht Frankfurt
90,KevenSchlotterbeck,Centre-Back,23,€4.00m,16.09.2020,Germany,SC Freiburg
91,Chang-hoonKwon,RightWinger,26,€2.80m,16.09.2020,"Korea, South",SC Freiburg
92,ÖmerToprak,Centre-Back,31,€3.00m,16.09.2020,Turkey,SV Werder Bremen
93,LukasKlünter,Right-Back,24,€2.80m,16.09.2020,Germany,Hertha BSC
94,YuyaOsako,SecondStriker,30,€3.00m,16.09.2020,Japan,SV Werder Bremen
95,NikoGießelmann,Left-Back,29,€2.50m,16.09.2020,Germany,1.FC Union Berlin
96,BastianOczipka,Left-Back,31,€2.80m,16.09.2020,Germany,FC Schalke 04
97,ErminBicakcic,Centre-Back,30,€2.40m,16.09.2020,Bosnia-Herzegovina,TSG 1899 Hoffenheim
98,AnthonyModeste,Centre-Forward,32,€2.80m,16.09.2020,France,1. FC Köln
99,LucaKilian,Centre-Back,21,€2.00m,16.09.2020,Germany,1.FSV Mainz 05
100,KingsleyEhizibue,Right-Back,25,€2.50m,16.09.2020,Nigeria,1. FC Köln
101,JulianBaumgartlinger,DefensiveMidfield,32,€2.00m,16.09.2020,Austria,Bayer 04 Leverkusen
102,JosepMartínez,Goalkeeper,22,€2.50m,16.09.2020,Spain,RB Leipzig
103,ReeceOxford,DefensiveMidfield,21,€2.00m,16.09.2020,England,FC Augsburg
104,KasimAdams,Centre-Back,25,€2.50m,16.09.2020,Ghana,TSG 1899 Hoffenheim
105,FelixKlaus,RightWinger,28,€2.00m,16.09.2020,Germany,VfL Wolfsburg
106,DominickDrexler,AttackingMidfield,30,€2.20m,16.09.2020,Germany,1. FC Köln
107,StefanIlsanker,DefensiveMidfield,31,€2.00m,16.09.2020,Austria,Eintracht Frankfurt
108,TimothyChandler,Right-Back,30,€2.00m,16.09.2020,United States,Eintracht Frankfurt
109,MarwinHitz,Goalkeeper,33,€1.70m,16.09.2020,Switzerland,Borussia Dortmund
110,MarkFlekken,Goalkeeper,27,€2.00m,16.09.2020,Netherlands,SC Freiburg
111,JannesHorn,Left-Back,23,€1.50m,16.09.2020,Germany,1. FC Köln
112,KonstantinosStafylidis,Left-Back,26,€2.00m,16.09.2020,Greece,TSG 1899 Hoffenheim
113,ErikDurm,Left-Back,28,€1.50m,16.09.2020,Germany,Eintracht Frankfurt
114,DannyLatza,CentralMidfield,30,€2.00m,16.09.2020,Germany,1.FSV Mainz 05
115,LukasKübler,Right-Back,28,€1.50m,16.09.2020,Germany,SC Freiburg
116,RagnarAche,Centre-Forward,22,€1.80m,16.09.2020,Germany,Eintracht Frankfurt
117,LilianEgloff,AttackingMidfield,18,€1.50m,16.09.2020,Germany,VfB Stuttgart
118,CanBozdogan,AttackingMidfield,19,€1.50m,16.09.2020,Germany,FC Schalke 04
119,DanielBrosinski,Right-Back,32,€1.30m,16.09.2020,Germany,1.FSV Mainz 05
120,Ron-RobertZieler,Goalkeeper,31,€1.50m,16.09.2020,Germany,1. FC Köln
121,BennoSchmitz,Right-Back,25,€1.00m,16.09.2020,Germany,1. FC Köln
122,RaphaelFramberger,Right-Back,25,€1.50m,16.09.2020,Germany,FC Augsburg
123,AbassIssah,Centre-Forward,22,€1.00m,16.09.2020,Ghana,1.FSV Mainz 05
124,KevinMöhwald,CentralMidfield,27,€1.50m,16.09.2020,Germany,SV Werder Bremen
125,LeventMercan,AttackingMidfield,19,€1.00m,16.09.2020,Germany,FC Schalke 04
126,MathewLeckie,RightWinger,29,€1.50m,16.09.2020,Australia,Hertha BSC
127,MarekSuchy,Centre-Back,32,€1.00m,16.09.2020,Czech Republic,FC Augsburg
128,PauloOtávio,Left-Back,25,€1.20m,16.09.2020,Brazil,VfL Wolfsburg
129,Dong-wonJi,Centre-Forward,29,€1.00m,16.09.2020,"Korea, South",1.FSV Mainz 05
130,NiklasMoisander,Centre-Back,35,€1.00m,16.09.2020,Finland,SV Werder Bremen
131,MalickThiaw,Centre-Back,19,€1.00m,16.09.2020,Finland,FC Schalke 04
132,VedadIbisevic,Centre-Forward,36,€1.00m,16.09.2020,Bosnia-Herzegovina,FC Schalke 04
133,MarcoHöger,DefensiveMidfield,31,€1.00m,16.09.2020,Germany,1. FC Köln
134,MarcelSchmelzer,Left-Back,32,€1.00m,16.09.2020,Germany,Borussia Dortmund
135,AymenBarkok,AttackingMidfield,22,€1.00m,16.09.2020,Morocco,Eintracht Frankfurt
136,DavidAbraham,Centre-Back,34,€1.00m,16.09.2020,Argentina,Eintracht Frankfurt
137,MadsPedersen,Left-Back,24,€700Th.,16.09.2020,Denmark,FC Augsburg
138,AndréHahn,RightWinger,30,€1.00m,16.09.2020,Germany,FC Augsburg
139,NickTaitague,AttackingMidfield,21,€100Th.,16.09.2020,United States,FC Schalke 04
140,AmirAbrashi,DefensiveMidfield,30,€1.00m,16.09.2020,Albania,SC Freiburg
141,LucaPhilipp,Goalkeeper,19,€100Th.,16.09.2020,Germany,TSG 1899 Hoffenheim
142,FlorianHübner,Centre-Back,29,€1.00m,16.09.2020,Germany,1.FC Union Berlin
143,OmerHanin,Goalkeeper,22,€200Th.,15.09.2020,Israel,1.FSV Mainz 05
144,ÁdámSzalai,Centre-Forward,32,€1.00m,16.09.2020,Hungary,1.FSV Mainz 05
145,AminYounes,LeftWinger,27,€5.00m,25.08.2020,Germany,Eintracht Frankfurt
146,AkakiGogia,RightWinger,28,€800Th.,16.09.2020,Germany,1.FC Union Berlin
147,BartoszBialek,Centre-Forward,19,€3.00m,18.08.2020,Poland,VfL Wolfsburg
148,JulianSchieber,Centre-Forward,31,€500Th.,16.09.2020,Germany,FC Augsburg
149,BounaSarr,Right-Back,28,€9.00m,03.08.2020,France,Bayern Munich
150,MariusLiesegang,Goalkeeper,20,€100Th.,16.09.2020,Germany,1.FSV Mainz 05
151,KilianLudewig,Right-Back,20,€750Th.,31.07.2020,Germany,FC Schalke 04
152,AntonisAidonis,Centre-Back,19,€300Th.,15.09.2020,Germany,VfB Stuttgart
153,RyanSessegnon,Left-Back,20,€25.00m,30.07.2020,England,TSG 1899 Hoffenheim
154,DouglasCosta,RightWinger,30,€20.00m,25.08.2020,Brazil,Bayern Munich
155,GuusTil,AttackingMidfield,22,€8.50m,29.07.2020,Netherlands,SC Freiburg
156,JustinKluivert,LeftWinger,21,€20.00m,25.08.2020,Netherlands,RB Leipzig
157,Hee-chanHwang,Centre-Forward,24,€15.00m,22.07.2020,"Korea, South",RB Leipzig
158,RobertGumny,Right-Back,22,€3.50m,18.08.2020,Poland,FC Augsburg
159,Klauss,Centre-Forward,23,€2.00m,22.07.2020,Brazil,TSG 1899 Hoffenheim
