,name,position,age,value,changed,nat,club
101,RodrigodePaul,CentralMidfield,26,€30.00m,25.08.2020,Argentina,Udinese Calcio
102,WojciechSzczesny,Goalkeeper,30,€35.00m,25.08.2020,Poland,Juventus FC
103,AdrienRabiot,CentralMidfield,25,€28.00m,25.08.2020,France,Juventus FC
104,AlexSandro,Left-Back,29,€35.00m,25.08.2020,Brazil,Juventus FC
105,RobinGosens,Left-Back,26,€27.00m,25.08.2020,Germany,Atalanta BC
106,PiotrZielinski,CentralMidfield,26,€35.00m,25.08.2020,Poland,SSC Napoli
107,JérémieBoga,LeftWinger,23,€25.00m,25.08.2020,Cote d'Ivoire,US Sassuolo
108,AnteRebic,LeftWinger,27,€32.00m,25.08.2020,Croatia,AC Milan
109,ThomasStrakosha,Goalkeeper,25,€25.00m,25.08.2020,Albania,SS Lazio
110,JoaquínCorrea,SecondStriker,26,€30.00m,25.08.2020,Argentina,SS Lazio
111,MarashKumbulla,Centre-Back,20,€25.00m,25.08.2020,Albania,AS Roma
112,NikolaMilenkovic,Centre-Back,23,€28.00m,25.08.2020,Serbia,ACF Fiorentina
113,MartendeRoon,DefensiveMidfield,29,€23.00m,25.08.2020,Netherlands,Atalanta BC
114,MarioPasalic,CentralMidfield,25,€25.00m,25.08.2020,Croatia,Atalanta BC
115,RemoFreuler,CentralMidfield,28,€23.00m,25.08.2020,Switzerland,Atalanta BC
116,FedericoBernardeschi,RightWinger,26,€25.00m,25.08.2020,Italy,Juventus FC
117,MatteoPolitano,RightWinger,27,€22.00m,25.08.2020,Italy,SSC Napoli
118,AlexMeret,Goalkeeper,23,€25.00m,25.08.2020,Italy,SSC Napoli
119,LuisMuriel,Centre-Forward,29,€22.00m,25.08.2020,Colombia,Atalanta BC
120,DomenicoBerardi,RightWinger,26,€24.00m,25.08.2020,Italy,US Sassuolo
121,GianlucaMancini,Centre-Back,24,€22.00m,25.08.2020,Italy,AS Roma
122,NahitanNández,CentralMidfield,24,€23.00m,25.08.2020,Uruguay,Cagliari Calcio
123,AmadouDiawara,DefensiveMidfield,23,€20.00m,25.08.2020,Guinea,AS Roma
124,GiovanniDiLorenzo,Right-Back,27,€22.00m,25.08.2020,Italy,SSC Napoli
125,SofyanAmrabat,CentralMidfield,24,€20.00m,25.08.2020,Morocco,ACF Fiorentina
126,LuizFelipe,Centre-Back,23,€22.00m,25.08.2020,Brazil,SS Lazio
127,AlessioCragno,Goalkeeper,26,€20.00m,25.08.2020,Italy,Cagliari Calcio
128,RiccardoOrsolini,RightWinger,23,€22.00m,25.08.2020,Italy,Bologna FC 1909
129,StanislavLobotka,DefensiveMidfield,25,€19.00m,25.08.2020,Slovakia,SSC Napoli
130,AaronRamsey,CentralMidfield,29,€22.00m,25.08.2020,Wales,Juventus FC
131,LeonardoBonucci,Centre-Back,33,€18.00m,25.08.2020,Italy,Juventus FC
132,RuslanMalinovskyi,AttackingMidfield,27,€21.00m,25.08.2020,Ukraine,Atalanta BC
133,EljifElmas,CentralMidfield,21,€18.00m,25.08.2020,North Macedonia,SSC Napoli
134,StefanoSensi,CentralMidfield,25,€20.00m,25.08.2020,Italy,Inter Milan
135,ManuelLazzari,RightMidfield,26,€18.00m,25.08.2020,Italy,SS Lazio
136,ChrisSmalling,Centre-Back,30,€20.00m,25.08.2020,England,AS Roma
137,HansHateboer,Right-Back,26,€18.00m,25.08.2020,Netherlands,Atalanta BC
138,JuanMusso,Goalkeeper,26,€20.00m,25.08.2020,Argentina,Udinese Calcio
139,PierluigiGollini,Goalkeeper,25,€17.00m,25.08.2020,Italy,Atalanta BC
140,DriesMertens,Centre-Forward,33,€18.00m,25.08.2020,Belgium,SSC Napoli
141,RafaelTolói,Centre-Back,30,€16.00m,25.08.2020,Brazil,Atalanta BC
142,MusaBarrow,Centre-Forward,22,€18.00m,25.08.2020,The Gambia,Bologna FC 1909
143,AlfredDuncan,CentralMidfield,27,€15.00m,25.08.2020,Ghana,ACF Fiorentina
144,NikolaMaksimovic,Centre-Back,28,€18.00m,25.08.2020,Serbia,SSC Napoli
145,PapuGómez,SecondStriker,32,€15.00m,25.08.2020,Argentina,Atalanta BC
146,TakehiroTomiyasu,Centre-Back,22,€18.00m,25.08.2020,Japan,Bologna FC 1909
147,DiegoDemme,DefensiveMidfield,28,€15.00m,25.08.2020,Germany,SSC Napoli
148,BryanCristante,CentralMidfield,25,€18.00m,25.08.2020,Italy,AS Roma
149,BeratDjimsiti,Centre-Back,27,€15.00m,25.08.2020,Albania,Atalanta BC
150,MatíasVecino,CentralMidfield,29,€16.00m,25.08.2020,Uruguay,Inter Milan
151,Danilo,Right-Back,29,€15.00m,25.08.2020,Brazil,Juventus FC,
152,GiovanniSimeone,Centre-Forward,25,€15.00m,25.08.2020,Argentina,Cagliari Calcio
153,HamedJuniorTraorè,AttackingMidfield,20,€14.00m,25.08.2020,Cote d'Ivoire,US Sassuolo
154,ErickPulgar,DefensiveMidfield,26,€15.00m,25.08.2020,Chile,ACF Fiorentina
155,NicolásDomínguez,CentralMidfield,22,€14.00m,25.08.2020,Argentina,Bologna FC 1909
156,GermánPezzella,Centre-Back,29,€15.00m,25.08.2020,Argentina,ACF Fiorentina
157,MárioRui,Left-Back,29,€14.00m,25.08.2020,Portugal,SSC Napoli
158,AndreaPetagna,Centre-Forward,25,€15.00m,25.08.2020,Italy,SSC Napoli
159,AmirRrahmani,Centre-Back,26,€14.00m,25.08.2020,Kosovo,SSC Napoli
160,JuanCuadrado,Right-Back,32,€15.00m,25.08.2020,Colombia,Juventus FC
