,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Yunis Abdelhamid,Stade de Reims,Morocco,33,2520,3,0,0,0,71%,62%,65%,3.3,67.5,1.8,55.0,85%,0.00,0,0.6,0.0,0,0.7,0.2,12,0.0,0,1,0.11,0.11,26%,6.9
1,Mehdi Abeid,Nantes,Algeria,28,1817,1,2,5,0,56%,47%,50%,0.3,61.4,1.1,44.1,87%,0.10,0,0.8,3.1,0,1.6,0.3,10,0.0,0,0,0.05,0.05,21%,6.5
2,Charles Abi,Saint-Étienne,France,20,618,0,0,2,0,100%,47%,46%,0.6,33.8,0.4,18.5,57%,0.00,2,1.6,0.4,0,0.7,0.0,3,0.0,0,0,0.00,0.00,0%,5.7
3,Yacine Adli,Bordeaux,France,20,1018,3,3,3,0,65%,46%,43%,0.3,68.3,0.6,46.6,83%,0.26,4,2.2,3.5,0,1.5,0.5,4,0.0,0,1,0.26,0.26,35%,6.5
4,Amine Adli,Toulouse,France,20,42,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6.3
5,Nayef Aguerd,Dijon,Morocco,24,958,1,0,2,0,67%,73%,66%,5.1,68.6,1.7,55.2,83%,0.00,0,0.2,0.1,0,0.4,0.1,4,0.0,0,1,0.09,0.09,25%,6.6
6,Ruben Aguilar,Monaco,France,27,1067,0,2,2,2,64%,61%,62%,1.6,80.6,0.9,52.0,90%,0.17,3,0.9,5.2,0,0.5,0.2,5,0.0,0,1,0.00,0.00,33%,6.6
7,Jean-Eudes Aholou,Saint-Étienne,Côte d’Ivoire,26,633,1,1,3,1,74%,50%,58%,1.3,62.3,2.3,43.1,85%,0.14,0,1.7,0.3,0,1.4,0.6,1,0.0,0,1,0.14,0.14,40%,6.5
8,Youssef Aït Bennasser,Bordeaux,Morocco,24,534,0,1,1,0,82%,46%,36%,1.4,79.9,0.8,66.9,88%,0.17,0,0.7,0.3,0,0.3,0.0,2,0.0,0,0,0.00,0.00,0%,6.5
9,Rayan Aït Nouri,Angers,France,19,1287,0,2,3,0,68%,72%,53%,1.6,71.5,1.4,42.6,78%,0.14,1,1.3,3.0,0,0.3,0.0,7,0.0,0,0,0.00,0.00,0%,6.5
10,Ludovic Ajorque,Strasbourg,Reunion,26,2068,8,4,3,0,66%,56%,50%,0.8,32.7,0.1,21.2,71%,0.17,5,0.3,0.5,1,2.1,0.9,8,0.0,0,3,0.35,0.31,43%,6.5
11,Marley Aké,Marseille,France,19,90,0,0,1,0,100%,25%,50%,1.0,47.0,1.0,27.0,93%,0.00,0,4.0,1.0,0,3.0,0.0,3,0.0,0,0,0.00,0.00,0%,5.6
12,Chadrac Akolo,Amiens,Congo DR,25,539,2,1,1,0,50%,29%,42%,0.3,52.4,0.8,33.8,84%,0.17,2,0.8,1.0,0,1.5,0.7,2,0.0,0,1,0.33,0.33,44%,6.1
