,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,David Abraham,Frankfurt,Argentina,34,2304,0,2,3,0,80%,65%,68%,5.2,64.1,1.6,51.0,83%,0.08,2,0.3,0.3,0,0.3,0.0,6,0.0,0,2,0.00,0.00,14%,6.8
1,Amir Abrashi,Freiburg,Albania,30,852,0,0,2,0,91%,53%,56%,2.0,52.3,2.0,33.3,78%,0.00,0,0.4,0.5,0,0.5,0.0,4,0.0,0,0,0.00,0.00,0%,6.6
2,René Adler,Mainz,Germany,35,1260,0,0,0,0,100%,100%,91%,1.0,37.4,0.0,27.4,60%,0.00,1,0.0,0.0,0,0.0,0.0,4,2.6,0,1,0.00,0.00,0%,6.4
3,Manuel Akanji,Dortmund,Switzerland,25,902,0,0,2,0,68%,47%,59%,3.8,73.4,0.7,59.6,86%,0.00,0,0.4,0.1,0,0.5,0.2,4,0.0,0,0,0.00,0.00,40%,6.5
4,Chadrac Akolo,Stuttgart,Congo DR,25,1103,5,0,2,0,70%,27%,37%,0.2,42.5,0.4,24.0,77%,0.00,0,1.3,1.1,0,2.7,1.3,6,0.0,0,0,0.41,0.41,48%,6.1
5,Kevin Akpoguma,Hoffenheim,Nigeria,25,1686,0,1,1,0,83%,57%,62%,2.9,66.3,1.2,53.5,86%,0.05,2,0.5,0.3,0,0.3,0.1,6,0.0,0,0,0.00,0.00,40%,6.6
6,David Alaba,Bayern,Austria,28,1551,2,2,1,0,61%,48%,49%,1.1,87.8,0.6,63.3,89%,0.12,5,0.7,5.5,0,1.4,0.4,13,0.0,0,0,0.12,0.12,29%,7.0
7,Lucas Alario,Leverkusen,Argentina,28,1545,9,4,4,1,63%,33%,40%,0.8,41.5,0.2,23.6,75%,0.23,3,1.3,0.2,1,3.4,1.3,7,0.0,0,2,0.52,0.47,38%,6.6
8,Miiko Albornoz,Hannover,Chile,29,700,0,2,1,0,83%,41%,60%,2.7,69.6,0.6,39.5,77%,0.26,2,1.1,3.0,0,0.5,0.1,0,0.0,0,2,0.00,0.00,25%,6.5
9,Thiago Alcântara,Bayern,Spain,29,1242,2,2,3,0,78%,55%,55%,0.4,111.4,1.9,93.2,92%,0.14,2,1.7,0.9,0,1.7,0.5,11,0.0,0,2,0.14,0.14,29%,7.5
10,Rune Jarstein,Hertha BSC,Norway,36,2790,0,0,2,0,100%,100%,93%,0.6,42.3,0.0,33.2,52%,0.00,0,0.0,0.0,0,0.0,0.0,7,3.2,0,3,0.00,0.00,0%,6.4
11,Stephan Ambrosius,HSV,Germany,21,46,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6.4
12,Nadiem Amiri,Hoffenheim,Germany,24,1741,2,3,4,0,66%,32%,43%,0.3,60.6,0.9,40.5,82%,0.15,5,1.1,2.5,0,2.3,0.9,8,0.0,0,1,0.10,0.10,39%,6.4
13,Coke,Schalke,Spain,33,1,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
14,Waldemar Anton,Hannover,Germany,24,2278,1,0,1,0,75%,61%,60%,4.0,65.0,1.5,47.6,80%,0.00,0,0.8,0.3,0,0.9,0.2,5,0.0,0,2,0.04,0.04,22%,6.7
15,Dennis Aogo,Stuttgart,Germany,33,1955,0,6,5,0,75%,43%,49%,1.1,63.6,1.3,46.0,87%,0.28,6,0.1,4.8,0,0.7,0.1,11,0.0,0,0,0.00,0.00,7%,6.6
16,Naldo,Schalke,Brazil,38,3060,7,2,4,0,71%,77%,72%,5.7,63.8,1.6,49.9,86%,0.06,3,0.3,0.0,0,1.4,0.6,13,0.0,0,9,0.21,0.21,43%,7.2
17,Charles Aránguiz,Leverkusen,Chile,31,2307,1,3,4,0,82%,36%,50%,1.0,85.3,1.9,67.1,86%,0.12,1,0.7,0.9,0,1.3,0.2,8,0.0,0,2,0.04,0.04,15%,7.0
18,Maximilian Arnold,Wolfsburg,Germany,26,2454,2,0,8,1,80%,43%,51%,1.1,66.4,1.0,48.6,84%,0.00,1,0.4,4.2,0,1.3,0.4,7,0.0,0,1,0.07,0.07,32%,6.6
19,Jann-Fiete Arp,HSV,Germany,20,845,2,0,1,0,71%,30%,34%,0.8,31.6,0.2,15.9,58%,0.00,1,1.1,0.2,0,1.8,0.8,5,0.0,0,0,0.22,0.22,41%,5.9
20,Takuma Asano,Stuttgart,Japan,26,719,1,0,1,0,72%,17%,27%,0.3,37.7,0.4,20.9,77%,0.00,2,1.0,1.4,0,2.1,0.5,4,0.0,0,0,0.13,0.13,24%,5.9
21,Santiago Ascacíbar,Stuttgart,Argentina,23,2386,0,1,11,0,72%,46%,58%,1.3,56.9,1.8,42.2,84%,0.04,1,0.4,0.3,0,0.4,0.1,11,0.0,0,1,0.00,0.00,18%,6.6
22,Simon Asta,Augsburg,Germany,19,10,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
23,PE Aubameyang,Dortmund,Gabon,31,1417,13,3,1,0,100%,44%,32%,0.1,32.4,0.2,20.0,77%,0.19,4,0.3,1.5,3,3.7,1.7,6,0.0,0,2,0.83,0.64,47%,6.9
24,Jean-Kévin Augustin,RB Leipzig,France,23,1270,9,5,1,0,68%,26%,36%,0.3,42.7,0.3,20.2,79%,0.35,4,1.6,0.8,0,2.6,1.3,5,0.0,0,2,0.64,0.64,49%,6.7
25,Ludwig Augustinsson,W. Bremen,Sweden,26,2535,1,0,3,0,76%,50%,47%,1.5,61.6,1.4,38.3,78%,0.00,2,0.1,4.2,0,0.9,0.3,6,0.0,0,1,0.04,0.04,29%,6.4
26,Abdul Rahman Baba,Schalke,Ghana,26,33,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,6.6
27,Holger Badstuber,Stuttgart,Germany,31,2170,2,0,2,0,73%,65%,64%,4.4,57.5,1.7,45.3,83%,0.00,0,0.3,0.1,0,0.4,0.2,10,0.0,0,1,0.08,0.08,56%,6.6
28,Daniel Baier,Augsburg,Germany,36,2543,0,2,6,0,75%,46%,54%,1.3,73.0,2.0,56.0,74%,0.07,4,0.4,1.0,0,0.9,0.2,6,0.0,0,0,0.00,0.00,19%,6.8
29,Leon Bailey,Leverkusen,Jamaica,23,2221,9,6,2,0,75%,47%,45%,0.2,61.8,0.6,34.3,75%,0.24,9,2.4,7.9,0,3.1,1.1,8,0.0,0,3,0.37,0.37,37%,6.8
30,Marvin Bakalorz,Hannover,Germany,31,2057,0,1,4,0,56%,56%,53%,1.9,43.5,0.9,26.7,70%,0.05,4,0.7,0.5,0,0.9,0.2,5,0.0,0,0,0.00,0.00,24%,6.1
31,Ridle Baku,Mainz,Germany,22,234,2,0,1,0,100%,29%,40%,0.8,48.8,1.1,31.2,81%,0.00,1,1.1,1.1,0,1.9,1.1,1,0.0,0,0,0.77,0.77,60%,7.2
32,Leon Balogun,Mainz,Nigeria,32,1176,0,0,5,0,82%,60%,58%,4.7,53.1,2.5,36.4,75%,0.00,0,0.8,0.1,0,0.1,0.1,3,0.0,0,0,0.00,0.00,50%,6.4
33,Philipp Bargfrede,W. Bremen,Germany,31,1870,1,1,5,0,75%,51%,53%,2.4,60.6,2.3,46.1,80%,0.05,1,0.2,0.2,0,0.8,0.2,7,0.0,0,0,0.05,0.05,31%,6.7
34,Aymen Barkok,Frankfurt,Morocco,22,309,0,1,1,0,100%,31%,41%,0.9,54.1,0.6,33.3,75%,0.29,0,1.2,1.2,0,0.9,0.0,1,0.0,0,0,0.00,0.00,0%,6.3
35,Fin Bartels,W. Bremen,Germany,33,1129,2,3,0,0,76%,38%,36%,0.1,46.7,0.6,29.9,73%,0.24,7,1.6,1.0,0,1.8,0.7,5,0.0,0,0,0.16,0.16,41%,6.5
36,Marc Bartra,Dortmund,Spain,29,806,2,1,1,0,68%,66%,62%,4.1,96.7,3.1,73.0,80%,0.11,3,0.6,0.8,0,0.6,0.3,3,0.0,0,1,0.23,0.23,60%,7.1
37,Michy Batshuayi,Dortmund,Belgium,27,838,7,1,2,0,76%,46%,32%,0.5,32.4,0.0,19.0,69%,0.11,0,0.8,0.0,0,3.1,1.5,4,0.0,0,3,0.76,0.76,48%,6.7
38,Robert Bauer,W. Bremen,Germany,25,955,0,0,4,0,81%,44%,57%,1.8,58.7,2.0,40.5,77%,0.00,0,0.1,1.5,0,0.2,0.0,2,0.0,0,0,0.00,0.00,0%,6.1
39,Oliver Baumann,Hoffenheim,Germany,30,3060,0,0,0,0,-,91%,81%,0.7,48.0,0.0,37.1,68%,0.00,0,0.0,0.0,0,0.0,0.0,10,3.0,1,2,0.00,0.00,0%,6.4
40,Timo Baumgartl,Stuttgart,Germany,24,2610,0,0,4,0,82%,64%,63%,4.0,66.6,1.2,51.0,82%,0.00,0,0.0,0.3,0,0.3,0.0,11,0.0,0,1,0.00,0.00,13%,6.8
41,Julian Baumgartlinger,Leverkusen,Austria,32,1397,1,0,3,0,79%,50%,58%,1.4,74.6,1.2,61.2,91%,0.00,1,0.4,0.1,0,0.7,0.3,8,0.0,0,2,0.06,0.06,36%,6.9
42,Riechedly Bazoer,Wolfsburg,Netherlands,24,588,0,0,2,0,88%,31%,47%,0.5,48.7,1.2,38.0,85%,0.00,0,0.5,0.5,0,1.1,0.3,3,0.0,0,0,0.00,0.00,29%,6.1
43,Ihlas Bebou,Hannover,Togo,26,2139,5,2,3,0,78%,50%,48%,1.1,48.8,1.0,24.4,75%,0.08,8,2.6,2.3,0,2.1,0.8,3,0.0,0,1,0.21,0.21,38%,6.5
44,Andreas Beck,Stuttgart,Germany,33,1931,1,1,6,0,63%,53%,56%,1.8,67.0,0.9,39.5,73%,0.05,3,0.1,3.2,0,0.4,0.1,7,0.0,0,0,0.05,0.05,25%,6.2
45,Ishak Belfodil,W. Bremen,Algeria,28,1346,4,1,1,0,87%,49%,41%,0.6,44.5,0.1,27.5,65%,0.06,3,2.1,1.5,0,3.1,1.5,6,0.0,0,1,0.27,0.27,48%,6.3
46,Stefan Bell,Mainz,Germany,29,2176,1,0,8,0,70%,62%,56%,4.8,52.1,1.9,38.6,74%,0.00,0,0.2,0.1,0,0.5,0.3,6,0.0,0,1,0.05,0.05,50%,6.4
47,Karim Bellarabi,Leverkusen,Germany,30,1143,1,3,2,0,77%,23%,44%,0.2,62.8,1.0,36.0,80%,0.23,6,1.8,4.4,0,3.4,1.3,6,0.0,0,0,0.08,0.08,37%,6.3
48,Sven Bender,Leverkusen,Germany,31,2350,2,0,0,0,73%,55%,61%,4.5,75.2,1.9,61.3,86%,0.00,0,0.2,0.0,0,0.6,0.2,8,0.0,0,1,0.08,0.08,40%,6.8
49,Lars Bender,Leverkusen,Germany,31,1603,2,4,5,0,83%,60%,65%,2.0,69.0,1.6,46.7,79%,0.23,3,0.5,1.9,0,1.2,0.3,6,0.0,0,0,0.11,0.11,29%,7.1
50,László Bénes,M'gladbach,Slovakia,23,37,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,5.9
51,Marcel Benger,M'gladbach,Germany,22,1,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
52,Charlison Benschop,Hannover,Curaçao,31,181,1,0,0,0,100%,50%,31%,1.0,42.3,1.0,24.9,76%,0.00,0,0.5,1.5,0,2.5,0.5,3,0.0,0,0,0.50,0.50,20%,6.5
53,Nabil Bentaleb,Schalke,Algeria,25,1010,4,3,3,1,88%,60%,44%,2.3,61.2,2.0,47.0,82%,0.27,1,0.5,0.4,4,1.3,0.7,7,0.0,0,2,0.36,0.00,53%,7.0
54,Emil Berggreen,Mainz,Denmark,27,665,4,2,2,0,100%,47%,39%,1.2,35.2,0.1,21.9,63%,0.27,1,0.1,0.3,0,1.8,1.1,2,0.0,0,0,0.54,0.54,62%,6.2
55,Juan Bernat,Bayern,Spain,27,892,0,2,1,0,76%,39%,48%,0.5,69.6,1.0,48.5,93%,0.20,2,1.3,2.3,0,0.4,0.0,4,0.0,0,0,0.00,0.00,0%,6.8
56,Ermin Bičakčić,Hoffenheim,Bosnia and Herzegovina,30,549,0,0,4,0,89%,46%,53%,3.8,60.4,1.5,48.1,85%,0.00,0,0.2,0.0,0,0.3,0.3,1,0.0,0,0,0.00,0.00,100%,6.2
57,Yann Aurel Bisseck,1. FC Köln,Germany,19,154,0,0,0,0,100%,71%,73%,4.1,58.1,1.8,47.0,93%,0.00,0,0.0,0.6,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,5.9
58,Leonardo Bittencourt,1. FC Köln,Germany,26,1613,5,3,4,0,85%,26%,46%,0.6,59.2,0.9,33.8,76%,0.17,2,1.4,3.2,0,1.8,0.6,3,0.0,0,2,0.28,0.28,31%,6.6
59,Jakub Błaszczykowski,Wolfsburg,Poland,34,521,1,0,0,0,67%,53%,47%,0.5,47.4,0.9,30.7,74%,0.00,0,1.0,2.9,0,0.2,0.2,0,0.0,0,0,0.17,0.17,100%,6.1
60,Danny Blum,Frankfurt,Germany,29,27,1,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.3
61,Kevin-Prince Boateng,Frankfurt,Ghana,33,2361,6,1,5,0,65%,45%,48%,1.6,60.0,0.9,41.5,77%,0.04,1,0.9,0.7,0,1.8,0.6,7,0.0,0,0,0.23,0.23,35%,6.5
62,Jérôme Boateng,Bayern,Germany,32,1644,1,2,4,0,69%,70%,61%,2.7,87.6,1.1,77.3,87%,0.11,4,0.1,1.0,0,0.7,0.2,11,0.0,0,1,0.05,0.05,23%,7.1
63,Raúl Bobadilla,M'gladbach,Paraguay,33,445,0,0,2,0,87%,22%,33%,0.2,44.5,0.0,23.5,75%,0.00,0,1.2,0.6,0,3.0,1.4,3,0.0,0,0,0.00,0.00,47%,5.9
64,Julian Brandt,Leverkusen,Germany,24,2335,9,3,0,0,74%,40%,41%,0.3,64.8,0.6,44.8,79%,0.12,10,1.7,4.4,0,1.7,0.8,10,0.0,0,1,0.35,0.35,51%,6.7
65,Josip Brekalo,Wolfsburg,Croatia,22,1561,4,1,3,0,69%,30%,47%,0.2,55.8,0.4,33.1,74%,0.05,2,2.1,4.1,0,2.0,0.8,6,0.0,0,0,0.23,0.23,38%,6.3
66,John Brooks,Wolfsburg,United States,27,729,0,0,1,0,65%,67%,65%,5.3,59.1,1.2,45.6,86%,0.00,0,0.2,0.0,0,0.1,0.0,2,0.0,0,0,0.00,0.00,0%,6.5
67,Daniel Brosinski,Mainz,Germany,32,2502,1,5,0,0,78%,39%,46%,2.3,67.1,0.9,35.7,72%,0.18,3,0.4,6.2,1,1.1,0.2,6,0.0,0,2,0.04,0.00,16%,6.3
68,Jeffrey Bruma,Wolfsburg,Netherlands,29,990,0,0,2,0,85%,58%,51%,3.7,65.5,1.3,55.5,86%,0.00,0,0.2,0.1,0,0.2,0.1,2,0.0,0,0,0.00,0.00,50%,6.4
69,Jacob Bruun Larsen,Stuttgart,Denmark,22,111,0,0,0,0,100%,50%,25%,0.0,49.1,0.8,27.8,68%,0.00,0,1.6,1.6,0,0.0,0.0,1,0.0,0,0,0.00,0.00,0%,5.3
70,Onur Bulut,Freiburg,Turkey,26,38,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.0
71,Guido Burgstaller,Schalke,Austria,31,2326,11,4,8,0,65%,34%,32%,0.3,39.1,0.4,20.9,72%,0.15,7,0.9,0.8,0,2.1,1.0,11,0.0,0,0,0.42,0.42,47%,6.4
72,Roman Bürki,Dortmund,Switzerland,29,2970,0,0,4,0,100%,77%,70%,0.5,44.8,0.0,33.4,69%,0.00,0,0.1,0.0,0,0.0,0.0,12,3.1,0,3,0.00,0.00,0%,6.5
73,Dženis Burnić,Stuttgart,Germany,22,304,0,0,3,0,67%,100%,29%,0.9,90.6,1.2,77.2,92%,0.00,0,0.0,2.7,0,2.1,0.0,1,0.0,0,0,0.00,0.00,0%,6.4
74,Raffael,M'gladbach,Brazil,35,2079,9,2,0,0,80%,16%,44%,0.1,51.0,0.3,33.9,84%,0.09,6,1.9,0.7,1,2.3,0.8,6,0.0,0,3,0.39,0.34,37%,6.8
75,Luca Caldirola,W. Bremen,Italy,29,90,0,0,0,0,-,-,100%,3.0,38.0,3.0,29.0,72%,0.00,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.3
76,Daniel Caligiuri,Schalke,Germany,32,2917,6,10,4,0,66%,53%,54%,1.6,73.9,2.1,39.2,72%,0.31,10,1.7,5.2,3,1.1,0.6,13,0.0,0,5,0.19,0.09,54%,7.2
77,Ignacio Camacho,Wolfsburg,Spain,30,953,0,0,1,0,78%,74%,65%,3.8,67.3,3.9,49.7,76%,0.00,1,0.2,0.0,0,0.5,0.2,3,0.0,0,1,0.00,0.00,40%,7.1
78,Koen Casteels,Wolfsburg,Belgium,28,3060,0,0,1,0,50%,100%,96%,1.2,46.1,0.0,33.0,61%,0.00,0,0.0,0.0,0,0.0,0.0,8,3.2,3,3,0.00,0.00,0%,6.7
79,Gonzalo Castro,Dortmund,Germany,33,1209,0,2,3,0,69%,32%,42%,0.6,74.4,0.8,58.1,86%,0.15,3,0.8,3.8,0,0.8,0.1,8,0.0,0,0,0.00,0.00,18%,6.5
80,Marijan Ćavar,Frankfurt,Bosnia and Herzegovina,22,31,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.5
81,Timmy Chandler,Frankfurt,United States,30,1893,2,4,3,0,78%,43%,49%,2.0,55.0,1.6,29.8,69%,0.19,2,0.2,4.3,0,1.1,0.3,6,0.0,0,0,0.10,0.10,29%,6.3
82,Christian Clemens,1. FC Köln,Germany,29,639,1,0,2,0,92%,31%,36%,0.6,47.1,0.6,26.2,74%,0.00,3,0.8,5.4,0,2.4,0.6,3,0.0,0,0,0.14,0.14,24%,6.1
83,Kingsley Coman,Bayern,France,24,1149,3,3,0,0,91%,55%,55%,0.1,66.4,0.6,42.8,86%,0.23,5,4.2,4.5,0,2.3,1.2,10,0.0,0,1,0.23,0.23,52%,7.0
84,Marvin Compper,RB Leipzig,Germany,35,90,0,0,0,0,100%,80%,60%,7.0,73.0,0.0,58.0,95%,0.00,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.3
85,Jhon Córdoba,1. FC Köln,Colombia,27,952,0,2,1,0,77%,36%,42%,0.9,40.3,0.1,19.4,70%,0.19,3,1.0,0.8,0,3.2,0.7,1,0.0,0,0,0.00,0.00,21%,6.0
86,Sergio Córdova,Augsburg,Venezuela,23,567,2,0,3,0,100%,28%,32%,0.9,42.8,0.0,22.6,77%,0.00,0,0.9,1.4,0,2.2,0.9,7,0.0,0,0,0.32,0.32,43%,5.7
87,Jonathas,Hannover,Brazil,31,634,3,3,2,0,42%,40%,36%,1.3,37.3,0.0,22.1,64%,0.42,2,0.6,0.7,1,2.3,1.3,1,0.0,0,0,0.42,0.29,56%,6.3
88,Mickaël Cuisance,M'gladbach,France,21,1194,0,1,2,0,64%,27%,45%,0.5,70.0,0.8,47.7,82%,0.07,2,2.6,2.4,0,1.9,0.4,4,0.0,0,0,0.00,0.00,20%,6.2
89,Caiuby,Augsburg,Brazil,32,2859,5,7,8,0,75%,53%,48%,1.0,50.3,0.5,31.2,67%,0.22,8,1.2,1.8,0,2.4,0.8,9,0.0,0,2,0.15,0.15,32%,6.5
90,Mahmoud Dahoud,Dortmund,Germany,24,1138,0,4,4,0,60%,18%,45%,0.3,67.8,0.9,52.3,84%,0.32,6,1.4,0.5,0,2.1,0.5,11,0.0,0,1,0.00,0.00,23%,6.6
91,Kevin Danso,Augsburg,Austria,22,1107,2,0,2,0,66%,45%,53%,4.9,60.3,1.6,40.7,72%,0.00,0,0.4,0.3,0,0.7,0.3,2,0.0,0,0,0.16,0.16,44%,6.2
92,Pal Dárdai,Hertha BSC,Germany,21,25,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.4
93,Vladimír Darida,Hertha BSC,Czech Republic,30,1637,0,3,2,0,74%,38%,50%,1.1,68.6,1.3,52.7,79%,0.16,4,0.8,1.2,0,1.4,0.4,6,0.0,0,0,0.00,0.00,32%,6.6
94,William,Wolfsburg,Brazil,25,1614,0,2,5,0,80%,39%,51%,2.9,77.7,2.6,45.1,74%,0.11,2,0.9,2.5,0,0.3,0.2,6,0.0,0,2,0.00,0.00,50%,6.8
95,Pablo De Blasis,Mainz,Argentina,32,1656,5,2,2,0,59%,29%,40%,1.5,56.8,0.5,38.3,74%,0.11,3,0.8,1.1,3,1.6,0.7,6,0.0,0,1,0.27,0.11,45%,6.4
96,Jonathan de Guzmán,Frankfurt,Netherlands,33,1091,0,3,2,0,100%,48%,43%,0.8,65.0,1.1,47.2,82%,0.24,4,0.8,6.0,0,0.9,0.3,5,0.0,0,0,0.00,0.00,36%,6.5
97,Nigel de Jong,Mainz,Netherlands,35,743,0,0,2,0,71%,76%,61%,2.7,53.9,1.5,43.7,83%,0.00,0,0.1,0.0,0,0.1,0.0,2,0.0,0,0,0.00,0.00,0%,6.3
98,Thomas Delaney,W. Bremen,Denmark,29,2797,3,4,5,0,77%,59%,56%,2.2,56.8,1.4,40.2,72%,0.13,5,0.3,0.9,0,1.8,0.5,8,0.0,0,2,0.10,0.10,25%,6.7
99,Kerem Demirbay,Hoffenheim,Germany,27,1209,2,2,3,0,79%,61%,46%,1.2,73.0,1.0,47.9,83%,0.15,3,1.3,5.4,1,1.7,0.3,6,0.0,0,0,0.15,0.07,17%,6.6
100,Diego Demme,RB Leipzig,Germany,28,2287,0,3,4,0,70%,29%,53%,1.1,98.9,1.9,81.7,84%,0.12,4,0.6,0.7,0,0.4,0.1,5,0.0,0,2,0.00,0.00,27%,7.0
101,Franco Di Santo,Schalke,Argentina,31,1664,3,1,4,0,76%,47%,39%,1.2,38.5,0.1,24.4,67%,0.05,1,0.6,1.7,1,1.7,0.9,12,0.0,0,0,0.16,0.11,52%,6.0
102,Abdou Diallo,Mainz,France,24,2416,2,1,5,0,71%,58%,58%,2.4,59.1,1.9,41.8,75%,0.04,0,1.2,0.9,0,0.5,0.1,5,0.0,0,2,0.07,0.07,23%,6.5
103,Daniel Didavi,Wolfsburg,Germany,30,2249,9,6,4,0,56%,33%,45%,0.4,51.9,0.3,34.3,79%,0.24,3,0.6,3.8,0,2.2,0.8,8,0.0,0,1,0.36,0.36,35%,6.5
104,Dennis Diekmeier,HSV,Germany,31,1870,0,3,4,0,92%,66%,64%,1.9,55.8,0.8,26.5,64%,0.14,3,0.8,4.1,0,0.3,0.1,6,0.0,0,0,0.00,0.00,33%,6.4
105,Landry Dimata,Wolfsburg,Belgium,23,896,0,1,0,0,86%,29%,41%,0.5,35.9,0.2,18.8,79%,0.10,0,0.4,0.8,0,1.2,0.3,4,0.0,0,0,0.00,0.00,25%,5.7
106,Breel Embolo,Schalke,Switzerland,23,914,3,0,4,0,72%,35%,35%,0.3,43.7,0.6,21.1,74%,0.00,0,2.0,0.7,0,1.8,1.0,7,0.0,0,0,0.30,0.30,56%,6.1
107,Giulio Donati,Mainz,Italy,30,2285,0,3,3,1,75%,56%,61%,1.8,58.4,1.4,31.7,72%,0.12,1,0.4,2.7,0,0.4,0.1,5,0.0,0,0,0.00,0.00,20%,6.1
