,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Brahim Diaz,Real Madrid,Spain,21,59,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,4,0,0,0,0,0,-,6.5
1,Antonio Adan,Atletico Madrid,Spain,33,24,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6.3
2,Aritz Aduriz,Athletic,Spain,39,194,1,0,3,0,66%,65%,58%,0.5,39.4,0.0,26.9,55%,0.00,0,0.5,0.0,0,3.3,1.4,5,0.0,0,0,0.47,0.47,43%,5.8
3,Lumor Agbenyenu,Mallorca,Ghana,24,1808,1,0,4,0,65%,55%,55%,2.4,62.5,1.2,33.4,75%,0.00,3,1.6,3.9,0,0.7,0.1,2,0.0,0,0,0.05,0.05,14%,6.2
4,Fabricio,Mallorca,Spain,32,90,0,0,1,0,-,-,0%,0.0,37.0,0.0,27.0,70%,0.00,0,0.0,0.0,0,0.0,0.0,0,3.0,0,0,0.00,0.00,0%,5.1
5,Nolito,Celta,Spain,34,1224,5,1,2,0,63%,37%,43%,0.3,50.3,0.1,34.5,76%,0.07,1,1.1,1.8,1,2.7,1.3,9,0.0,0,0,0.37,0.30,46%,6.4
6,Martín,Alavés,Spain,24,2098,1,1,5,1,53%,51%,54%,1.8,55.0,0.8,32.0,68%,0.05,1,0.7,1.4,0,0.2,0.1,8,0.0,0,0,0.05,0.05,50%,6.0
7,Joseph Aidoo,Celta,Ghana,25,2499,0,1,4,0,65%,51%,56%,4.2,56.8,1.7,44.5,87%,0.04,1,0.3,0.0,0,0.4,0.0,10,0.0,0,1,0.00,0.00,10%,6.5
8,Isco,Real Madrid,Spain,28,1187,1,2,2,0,72%,36%,55%,0.1,80.3,0.5,60.9,88%,0.15,4,2.4,3.0,0,1.8,1.1,11,0.0,0,1,0.07,0.07,61%,6.6
9,Jordi Alba,Barcelona,Spain,31,2189,2,5,7,0,65%,22%,45%,1.1,97.1,1.6,78.4,89%,0.21,8,0.5,2.7,0,0.3,0.1,10,0.0,0,0,0.08,0.08,43%,7.1
10,Raul Albiol,Villarreal,Spain,35,3238,1,0,9,0,56%,57%,61%,4.8,64.5,1.2,54.1,84%,0.00,1,0.1,0.1,0,0.4,0.1,12,0.0,0,0,0.03,0.03,27%,6.4
11,Paco Alcácer,Villarreal,Spain,27,930,4,1,1,0,74%,23%,37%,0.9,31.6,0.2,21.5,80%,0.10,3,0.5,0.1,0,2.5,0.7,5,0.0,0,0,0.39,0.39,27%,6.2
12,Rafinha,Celta,Brazil,27,2306,4,1,5,0,53%,48%,59%,0.7,81.6,1.3,55.7,88%,0.04,3,2.4,1.5,0,1.5,0.4,10,0.0,0,3,0.15,0.15,29%,6.9
