,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
91,Issa Cissokho,Amiens,Senegal,35,1629,0,0,3,0,81%,41%,54%,3.9,58.5,1.9,34.0,76%,0.00,0,0.4,1.7,0,0.3,0.0,6,0.0,0,0,0.00,0.00,0%,6.5
92,Marcus Coco,Guingamp,France,24,1587,2,2,5,0,70%,44%,40%,0.4,52.8,0.9,31.7,78%,0.12,3,1.4,2.8,0,1.6,0.6,8,0.0,0,0,0.12,0.12,36%,6.2
93,Renaud Cohade,FC Metz,France,36,3302,1,3,6,0,61%,47%,50%,2.2,72.8,1.5,52.7,78%,0.08,4,0.8,1.8,0,1.0,0.2,4,0.0,0,1,0.03,0.03,19%,6.8
94,Racine Coly,Nice,Senegal,24,618,0,0,3,0,80%,65%,54%,1.8,79.1,2.2,54.2,88%,0.00,0,2.0,2.0,0,0.3,0.0,2,0.0,0,0,0.00,0.00,0%,6.8
95,Aloïs Confais,Troyes,France,24,602,0,0,1,0,100%,47%,47%,1.9,50.1,0.8,39.1,81%,0.00,0,0.1,1.6,0,0.3,0.1,3,0.0,0,0,0.00,0.00,50%,5.8
96,Daniel Congré,Montpellier,France,35,2633,1,0,4,0,74%,66%,63%,4.0,55.9,2.0,42.5,84%,0.00,0,0.1,0.6,0,0.4,0.1,11,0.0,0,1,0.04,0.04,18%,6.9
97,Diego Contento,Bordeaux,Germany,30,106,0,1,0,0,-,0%,60%,6.8,43.3,0.8,22.9,81%,0.85,1,0.8,0.8,0,0.0,0.0,1,0.0,0,0,0.00,0.00,0%,7.1
98,Jérémy Cordoval,Troyes,Guadeloupe,30,918,0,1,1,0,85%,27%,60%,2.8,53.7,0.9,29.5,75%,0.10,2,0.8,1.6,0,0.1,0.0,1,0.0,0,0,0.00,0.00,0%,6.2
99,Benjamin Corgnet,Strasbourg,France,33,1380,0,2,2,0,67%,51%,51%,0.7,54.2,0.7,35.0,68%,0.13,3,1.6,2.3,0,1.8,0.5,1,0.0,0,0,0.00,0.00,26%,6.3
100,Maxwel Cornet,Lyon,Côte d’Ivoire,24,1262,4,6,1,0,70%,30%,34%,0.6,56.4,1.1,34.3,79%,0.43,4,1.6,2.9,0,2.3,0.9,13,0.0,0,0,0.29,0.29,41%,6.4
