,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
69,Jacob Bruun Larsen,Hoffenheim,Denmark,22,454,0,2,0,0,100%,27%,44%,0.2,46.8,0.6,30.6,79%,0.40,4,2.8,1.2,0,0.8,0.2,4,0.0,0,0,0.00,0.00,25%,6.1
70,Marius Bülter,Union Berlin,Germany,27,2333,7,1,1,0,58%,38%,39%,0.7,42.8,0.4,20.8,65%,0.04,7,1.7,2.8,0,1.6,0.6,8,0.0,0,2,0.27,0.27,37%,6.2
71,Guido Burgstaller,Schalke,Austria,31,1230,0,1,3,0,43%,31%,32%,0.7,37.7,0.1,20.5,70%,0.07,2,0.8,0.9,0,2.6,0.7,5,0.0,0,0,0.00,0.00,29%,5.9
72,Jonathan Burkardt,Mainz,Germany,20,251,1,0,0,0,45%,11%,42%,0.3,34.9,0.0,13.6,77%,0.00,0,1.9,0.6,0,2.2,0.6,1,0.0,0,0,0.32,0.32,29%,6.1
73,Roman Bürki,Dortmund,Switzerland,29,2771,0,0,0,0,100%,100%,67%,0.6,37.4,0.1,28.1,76%,0.00,0,0.0,0.0,0,0.0,0.0,13,1.9,0,0,0.00,0.00,0%,6.3
74,Raffael,M'gladbach,Brazil,35,56,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,5.9
75,Daniel Caligiuri,Schalke,Germany,32,2301,2,2,5,0,66%,54%,49%,1.2,59.9,1.0,32.9,68%,0.08,4,1.6,4.8,1,1.7,0.5,6,0.0,0,0,0.08,0.04,27%,6.4
76,Emre Can,Dortmund,Germany,26,956,2,0,5,0,60%,72%,62%,1.1,83.2,1.8,67.3,88%,0.00,1,1.3,0.6,0,1.5,0.4,7,0.0,0,1,0.19,0.19,25%,7.1
77,Matheus Cunha,Hertha BSC,Brazil,21,1019,6,1,3,0,50%,30%,49%,0.1,47.0,0.9,22.6,70%,0.09,2,3.8,0.5,0,4.5,1.9,6,0.0,0,0,0.53,0.53,43%,6.5
78,Koen Casteels,Wolfsburg,Belgium,28,2340,0,0,1,0,-,79%,89%,0.5,42.0,0.0,32.6,70%,0.00,0,0.0,0.0,0,0.0,0.0,5,2.6,0,2,0.00,0.00,0%,6.4
79,Timmy Chandler,Frankfurt,United States,30,1213,5,1,4,0,57%,57%,56%,1.4,46.1,1.0,25.0,63%,0.07,3,0.5,4.8,0,1.5,0.6,2,0.0,0,0,0.37,0.37,40%,6.2
80,Darko Churlinov,1. FC Köln,North Macedonia,20,20,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6.0
81,Christian Clemens,1. FC Köln,Germany,29,15,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
82,Jamilu Collins,SC Paderborn,Nigeria,26,2669,1,2,8,0,63%,52%,53%,2.6,78.4,2.5,47.8,75%,0.06,1,1.4,1.4,0,0.6,0.1,5,0.0,0,0,0.04,0.04,11%,6.4
83,Kingsley Coman,Bayern,France,24,1507,4,3,2,0,67%,48%,52%,0.1,66.2,0.2,42.0,82%,0.18,9,3.3,4.7,0,2.2,0.9,8,0.0,0,1,0.24,0.24,41%,6.8
84,Jhon Córdoba,1. FC Köln,Colombia,27,2005,13,2,5,0,71%,51%,47%,0.8,37.1,0.2,18.3,76%,0.09,3,0.9,0.5,0,2.7,1.1,6,0.0,0,3,0.59,0.59,41%,6.6
85,Sergio Córdova,Augsburg,Venezuela,23,359,2,1,0,0,-,33%,36%,0.8,33.9,0.3,18.9,69%,0.25,1,0.5,0.5,0,1.3,0.5,6,0.0,0,0,0.50,0.50,40%,5.7
86,Philippe Coutinho,Bayern,Brazil,28,1413,8,6,0,0,73%,25%,54%,0.0,71.8,0.4,51.1,84%,0.38,7,2.1,2.6,1,3.7,1.8,11,0.0,0,3,0.51,0.45,48%,7.0
87,Mickaël Cuisance,Bayern,France,21,303,1,0,1,0,51%,34%,37%,0.0,73.1,0.9,51.5,84%,0.00,0,3.3,4.4,0,3.6,0.3,5,0.0,0,0,0.30,0.30,8%,6.5
88,Rafael Czichos,1. FC Köln,Germany,30,2210,1,1,3,0,77%,60%,58%,4.2,63.4,1.4,49.5,82%,0.05,2,0.4,0.2,0,0.5,0.3,5,0.0,0,1,0.05,0.05,62%,6.4
89,Munas Dabbur,Hoffenheim,Israel,28,773,4,0,4,0,75%,37%,40%,0.1,45.8,0.5,27.9,72%,0.00,2,1.5,0.6,0,2.8,1.3,4,0.0,0,1,0.47,0.47,46%,6.3
90,Mahmoud Dahoud,Dortmund,Germany,24,557,0,1,1,0,60%,45%,43%,0.7,94.8,1.3,78.0,91%,0.16,0,1.6,0.7,0,1.9,0.7,6,0.0,0,0,0.00,0.00,33%,6.7
91,Leon Dajaku,Bayern,Germany,19,10,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,-
92,Vladimír Darida,Hertha BSC,Czech Republic,30,2261,3,4,7,0,52%,28%,41%,0.6,61.8,1.0,41.2,76%,0.16,7,0.9,3.9,0,1.7,0.6,7,0.0,0,2,0.12,0.12,33%,6.5
93,Alphonso Davies,Bayern,Canada,20,2233,3,5,3,0,63%,54%,58%,1.4,94.5,1.4,60.7,87%,0.20,6,3.2,2.6,0,0.5,0.2,13,0.0,0,1,0.12,0.12,42%,7.2
94,William,Wolfsburg,Brazil,25,1366,1,1,0,0,55%,41%,46%,1.6,78.2,1.8,41.5,71%,0.06,3,1.3,3.6,0,1.2,0.4,5,0.0,0,1,0.06,0.06,33%,6.6
95,Jonathan de Guzmán,Frankfurt,Netherlands,33,79,0,1,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,6.4
96,Thomas Delaney,Dortmund,Denmark,29,836,0,0,4,0,53%,57%,56%,2.5,77.6,2.9,61.9,84%,0.00,0,0.5,0.1,0,0.3,0.1,6,0.0,0,0,0.00,0.00,33%,6.8
97,Kerem Demirbay,Leverkusen,Germany,27,1576,1,5,3,0,62%,58%,54%,0.3,84.4,1.1,61.2,83%,0.29,8,1.6,7.1,0,1.7,0.5,7,0.0,0,2,0.05,0.05,27%,6.7
98,Diego Demme,RB Leipzig,Germany,28,1212,0,0,3,0,49%,28%,48%,1.0,95.7,0.9,80.9,86%,0.00,1,0.8,0.6,0,0.3,0.1,4,0.0,0,0,0.00,0.00,50%,6.7
