,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Ignazio Abate,Milan,Italy,34,1305,0,0,4,0,56%,61%,61%,2.8,75.5,1.3,55.5,84%,0.00,0,0.3,1.8,0,0.1,0.1,5,0.0,0,0,0.00,0.00,100%,6.6
1,Francesco Acerbi,Lazio,Italy,32,3310,3,1,4,0,78%,68%,70%,4.4,61.4,1.7,48.3,87%,0.03,2,0.2,0.2,0,0.5,0.2,10,0.0,0,2,0.08,0.08,45%,6.8
2,Afriyie Acquah,Empoli,Ghana,28,1515,2,0,4,0,41%,43%,55%,0.8,58.3,0.8,41.1,82%,0.00,1,1.7,2.0,0,1.3,0.4,4,0.0,0,0,0.12,0.12,32%,6.3
3,Claud Adjapong,Sassuolo,Italy,22,270,1,0,1,0,50%,34%,46%,1.3,54.3,0.3,23.7,75%,0.00,0,2.0,1.7,0,0.7,0.3,3,0.0,0,0,0.33,0.33,50%,6.2
4,Emmanuel Agyemang-Badu,Udinese,Ghana,29,161,0,0,0,0,25%,50%,57%,1.1,33.5,0.6,17.9,84%,0.00,0,0.0,1.1,0,1.1,0.0,1,0.0,0,0,0.00,0.00,0%,5.7
5,Ola Aina,Torino,Nigeria,24,2159,1,3,5,1,67%,58%,54%,1.5,64.3,1.6,35.0,78%,0.12,6,1.2,2.5,0,1.0,0.2,12,0.0,0,2,0.04,0.04,24%,6.6
6,Ali Adnan,Atalanta,Iraq,26,166,0,0,0,0,100%,67%,57%,3.3,79.2,1.6,46.1,71%,0.00,0,2.2,7.6,0,1.6,0.0,0,0.0,0,0,0.00,0.00,0%,6.3
7,Raul Albiol,Napoli,Spain,35,1712,1,0,4,0,57%,59%,57%,4.7,69.2,1.1,59.3,89%,0.00,2,0.1,0.2,0,0.3,0.1,6,0.0,0,0,0.05,0.05,33%,6.6
8,Cédric,Inter,Portugal,29,259,0,1,0,0,75%,57%,62%,0.7,85.1,0.7,54.2,80%,0.35,0,0.0,9.4,0,1.4,0.3,3,0.0,0,0,0.00,0.00,25%,7.1
9,Joachim Andersen,Sampdoria,Denmark,24,2880,0,1,7,0,73%,54%,57%,4.5,74.3,1.1,63.4,89%,0.03,1,0.5,0.0,0,0.4,0.1,11,0.0,0,1,0.00,0.00,38%,6.7
