,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Trent Alexander-Arnold,Liverpool,England,22,1576,1,1,3,0,67%,23%,48%,2.2,87.9,1.6,57.5,77%,0.05,3,1.1,5.8,0,0.7,0.3,9,0.0,0,1,0.05,0.05,42%,6.8
1,Rolando Aarons,Newcastle,England,24,137,0,0,0,0,100%,25%,46%,0.0,53.2,0.7,26.9,68%,0.00,0,2.6,1.3,0,1.3,0.7,0,0.0,0,0,0.00,0.00,50%,6.0
2,Brahim Diaz,Man City,Spain,21,50,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,6.2
3,Tammy Abraham,Swansea,England,23,1716,5,1,0,0,81%,40%,40%,0.6,31.3,0.1,15.7,68%,0.05,3,1.4,0.7,0,2.2,0.8,8,0.0,0,1,0.26,0.26,36%,6.0
4,Charlie Adam,Stoke,Scotland,34,408,0,0,2,1,56%,58%,55%,2.0,81.6,2.0,54.4,63%,0.00,3,2.7,6.6,0,2.2,0.7,3,0.0,0,0,0.00,0.00,30%,6.0
5,Ibrahim Afellay,Stoke,Netherlands,34,162,0,0,1,0,100%,-,44%,0.6,51.9,0.6,44.7,88%,0.00,0,0.6,0.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,5.8
6,Benik Afobe,Bournemouth,Congo DR,27,532,0,0,0,0,74%,39%,45%,1.0,41.6,0.0,25.7,74%,0.00,0,1.2,0.3,0,1.4,0.5,2,0.0,0,0,0.00,0.00,38%,5.8
7,Sergio Agüero,Man City,Argentina,32,1969,21,6,2,0,66%,35%,44%,0.1,46.0,0.3,28.7,83%,0.27,10,2.6,0.7,4,4.3,1.9,12,0.0,0,4,0.96,0.77,45%,7.5
8,Ramadan Sobhi,Stoke,Egypt,23,1233,2,0,2,0,65%,39%,47%,0.9,49.1,1.0,30.7,77%,0.00,0,2.2,1.2,0,0.9,0.4,4,0.0,0,0,0.14,0.14,46%,6.1
9,Nathan Aké,Bournemouth,Netherlands,25,3353,2,3,5,0,61%,53%,57%,6.2,56.5,1.3,42.6,84%,0.08,2,0.3,0.1,0,0.5,0.2,6,0.0,0,0,0.05,0.05,44%,6.6
