,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Issah Abbas,Mainz,Ghana,22,8,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
1,David Abraham,Frankfurt,Argentina,34,1422,0,0,2,0,63%,65%,61%,3.9,54.8,1.5,41.6,77%,0.00,1,0.4,0.5,0,0.3,0.1,3,0.0,0,1,0.00,0.00,20%,6.3
2,Amir Abrashi,Freiburg,Albania,30,791,0,0,5,0,55%,46%,50%,1.7,55.5,1.6,41.9,86%,0.00,0,0.3,0.2,0,0.8,0.2,1,0.0,0,0,0.00,0.00,29%,6.4
3,Tyler Adams,RB Leipzig,United States,21,721,0,2,0,0,59%,52%,57%,0.9,84.6,2.0,65.3,80%,0.25,2,1.8,0.3,0,0.3,0.1,7,0.0,0,0,0.00,0.00,50%,7.2
4,Antonis Aidonis,Stuttgart,Germany,19,80,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,5.6
5,Manuel Akanji,Dortmund,Switzerland,25,2206,1,0,1,0,65%,55%,58%,3.6,86.0,1.1,74.9,93%,0.00,1,0.3,0.1,0,0.3,0.1,6,0.0,0,2,0.05,0.05,43%,6.8
6,Chadrac Akolo,Stuttgart,Congo DR,25,519,0,1,0,0,67%,25%,46%,0.0,45.4,0.7,26.4,76%,0.17,1,1.2,1.4,0,2.4,0.5,5,0.0,0,0,0.00,0.00,21%,6.0
7,Kevin Akpoguma,Hannover,Nigeria,25,812,0,0,4,0,64%,50%,61%,2.7,65.3,2.4,47.9,82%,0.00,0,0.3,0.0,0,0.0,0.0,1,0.0,0,0,0.00,0.00,0%,5.9
8,David Alaba,Bayern,Austria,28,2533,3,3,4,0,62%,52%,58%,1.1,87.5,1.1,62.6,85%,0.11,6,1.0,4.1,0,1.7,0.6,11,0.0,0,0,0.11,0.11,34%,7.0
9,Lucas Alario,Leverkusen,Argentina,28,1255,9,3,1,0,54%,35%,38%,0.9,44.5,0.1,28.7,76%,0.22,2,0.3,0.3,0,3.0,1.1,7,0.0,0,1,0.64,0.64,37%,6.5
10,Miiko Albornoz,Hannover,Chile,29,1660,1,3,3,1,57%,32%,45%,1.7,67.0,0.9,38.7,75%,0.16,3,0.4,3.1,0,0.6,0.2,2,0.0,0,0,0.05,0.05,36%,6.0
11,Paco Alcácer,Dortmund,Spain,27,1204,18,0,0,0,30%,27%,33%,0.5,31.7,0.5,21.1,75%,0.00,2,0.5,0.2,1,3.9,2.1,8,0.0,0,2,1.35,1.27,54%,6.7
12,Thiago Alcântara,Bayern,Spain,29,2407,2,6,5,0,75%,48%,60%,0.6,110.9,1.6,93.7,92%,0.23,6,2.1,2.6,0,0.9,0.3,12,0.0,0,7,0.07,0.07,35%,7.9
13,Ewerton,Nürnberg,Brazil,31,1341,0,0,2,0,83%,71%,65%,7.1,55.5,1.7,40.4,84%,0.00,0,0.7,0.0,0,0.5,0.1,2,0.0,0,0,0.00,0.00,13%,6.7
14,Rune Jarstein,Hertha BSC,Norway,36,2746,0,0,2,0,-,96%,94%,0.5,43.3,0.0,34.6,57%,0.00,0,0.0,0.0,0,0.0,0.0,8,3.3,1,2,0.00,0.00,0%,6.4
15,Alfons Amade,Hoffenheim,Germany,21,8,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
16,Nadiem Amiri,Hoffenheim,Germany,24,759,3,1,1,0,64%,31%,50%,0.5,61.5,0.8,42.4,87%,0.12,1,2.4,1.3,0,2.1,0.8,3,0.0,0,0,0.36,0.36,39%,6.7
17,Waldemar Anton,Hannover,Germany,24,3060,1,0,4,0,66%,53%,53%,4.9,65.5,2.0,50.4,84%,0.00,0,0.5,0.1,0,0.7,0.1,5,0.0,0,1,0.03,0.03,17%,6.4
18,Dennis Aogo,Stuttgart,Germany,33,1028,0,0,1,0,66%,73%,55%,1.7,59.5,0.7,45.3,87%,0.00,1,0.4,4.5,0,0.9,0.1,5,0.0,0,0,0.00,0.00,10%,6.3
19,Naldo,Schalke,Brazil,38,630,0,0,1,0,70%,66%,64%,3.1,58.1,2.0,46.4,80%,0.00,0,0.1,0.0,0,1.3,0.1,1,0.0,0,0,0.00,0.00,11%,6.5
20,Joelinton,Hoffenheim,Brazil,24,2137,7,5,5,0,63%,39%,39%,0.3,49.7,0.6,29.1,79%,0.21,9,2.0,0.3,0,2.4,1.0,3,0.0,0,0,0.30,0.30,43%,6.6
21,Charles Aránguiz,Leverkusen,Chile,31,1896,2,7,3,0,62%,52%,47%,1.2,93.5,1.2,77.2,89%,0.33,7,0.4,1.1,0,1.1,0.2,7,0.0,0,4,0.10,0.10,22%,7.2
22,Maximilian Arnold,Wolfsburg,Germany,26,2879,2,6,7,0,58%,37%,53%,1.3,60.0,1.1,40.9,81%,0.19,8,0.8,4.2,0,1.7,0.7,9,0.0,0,1,0.06,0.06,43%,6.6
23,Takuma Asano,Hannover,Japan,26,703,0,0,0,0,61%,18%,35%,0.3,37.4,0.3,19.3,72%,0.00,1,0.9,1.1,0,1.7,0.4,1,0.0,0,0,0.00,0.00,23%,5.6
24,Santiago Ascacíbar,Stuttgart,Argentina,23,2430,0,0,10,1,64%,45%,55%,1.1,54.8,1.6,40.4,81%,0.00,0,0.5,0.4,0,0.7,0.2,3,0.0,0,0,0.00,0.00,26%,6.4
25,Simon Asta,Augsburg,Germany,19,90,0,0,1,0,50%,67%,82%,0.0,55.0,3.0,31.0,48%,0.00,0,1.0,1.0,0,2.0,0.0,0,0.0,0,0,0.00,0.00,0%,5.1
26,Jean-Kévin Augustin,RB Leipzig,France,23,451,3,0,0,0,-,6%,34%,0.0,40.1,0.6,17.2,79%,0.00,1,1.8,0.4,0,2.6,1.6,8,0.0,0,0,0.60,0.60,62%,6.1
27,Ludwig Augustinsson,W. Bremen,Sweden,26,3028,1,4,5,0,58%,48%,50%,2.1,70.6,1.1,45.8,80%,0.12,3,0.4,3.8,0,0.7,0.2,5,0.0,0,0,0.03,0.03,27%,6.5
28,Kaan Ayhan,Düsseldorf,Turkey,26,2451,4,1,10,0,55%,60%,59%,4.2,66.1,2.2,52.3,88%,0.04,2,0.4,0.1,0,0.8,0.3,5,0.0,0,2,0.14,0.14,39%,6.7
29,Abdul Rahman Baba,Schalke,Ghana,26,163,0,0,0,0,33%,100%,44%,1.1,65.7,1.1,39.8,78%,0.00,0,0.6,1.7,0,1.1,0.0,0,0.0,0,0,0.00,0.00,0%,6.2
30,Holger Badstuber,Stuttgart,Germany,31,518,0,0,1,0,33%,41%,60%,3.5,57.0,1.6,46.0,91%,0.00,0,0.0,0.0,0,0.0,0.0,2,0.0,0,0,0.00,0.00,0%,5.9
31,Daniel Baier,Augsburg,Germany,36,2824,0,1,7,0,63%,40%,48%,1.5,65.3,1.9,50.2,76%,0.04,1,0.5,0.6,0,0.8,0.3,5,0.0,0,0,0.00,0.00,38%,6.5
32,Leon Bailey,Leverkusen,Jamaica,23,1919,5,1,4,0,73%,48%,51%,0.5,62.5,0.7,35.7,74%,0.05,6,2.5,7.6,0,2.6,0.8,8,0.0,0,0,0.23,0.23,30%,6.5
33,Marvin Bakalorz,Hannover,Germany,31,1466,1,0,5,0,61%,54%,44%,2.7,41.2,1.7,24.1,76%,0.00,1,0.6,0.6,0,0.7,0.3,5,0.0,0,0,0.06,0.06,42%,6.1
34,Ridle Baku,Mainz,Germany,22,937,0,0,1,0,50%,47%,53%,0.6,56.6,0.8,42.4,82%,0.00,0,0.8,0.4,0,1.1,0.3,4,0.0,0,0,0.00,0.00,27%,6.2
35,Philipp Bargfrede,W. Bremen,Germany,31,1085,0,0,6,0,65%,60%,50%,3.7,63.4,2.8,45.8,82%,0.00,0,0.3,0.2,0,0.6,0.1,3,0.0,0,0,0.00,0.00,14%,6.5
36,Aymen Barkok,Düsseldorf,Morocco,22,505,0,0,0,0,46%,60%,43%,0.5,53.5,0.7,38.4,76%,0.00,0,1.2,2.1,0,0.9,0.0,1,0.0,0,0,0.00,0.00,0%,5.9
37,Leandro Barreiro Martins,Mainz,Luxembourg,20,90,0,0,1,0,100%,50%,75%,1.0,39.0,2.0,25.0,56%,0.00,0,3.0,0.0,0,1.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.6
38,Fin Bartels,W. Bremen,Germany,33,21,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
39,Robert Bauer,Nürnberg,Germany,25,1724,0,0,4,0,60%,33%,53%,3.4,56.4,1.5,31.3,77%,0.00,1,0.2,2.7,0,0.4,0.1,2,0.0,0,0,0.00,0.00,13%,6.0
40,Oliver Baumann,Hoffenheim,Germany,30,2970,0,1,0,0,-,87%,92%,0.6,44.3,0.1,33.1,76%,0.03,0,0.0,0.0,0,0.0,0.0,5,3.5,1,1,0.00,0.00,0%,6.6
41,Timo Baumgartl,Stuttgart,Germany,24,1620,1,0,2,0,70%,65%,68%,5.2,61.7,1.4,46.7,82%,0.00,0,0.2,0.3,0,0.3,0.1,4,0.0,0,1,0.05,0.05,40%,6.4
42,Julian Baumgartlinger,Leverkusen,Austria,32,1556,0,1,2,0,58%,55%,56%,1.1,93.7,1.5,79.3,90%,0.05,1,0.9,0.1,0,0.6,0.0,7,0.0,0,0,0.00,0.00,0%,7.1
43,Christoph Baumgartner,Hoffenheim,Austria,21,85,0,0,2,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.4
44,Ihlas Bebou,Hannover,Togo,26,1068,4,3,1,0,60%,42%,52%,0.7,57.1,0.8,30.4,71%,0.25,2,3.0,3.5,1,2.3,1.1,2,0.0,0,1,0.33,0.25,48%,6.8
45,Andreas Beck,Stuttgart,Germany,33,1779,0,2,2,0,54%,51%,57%,2.4,57.3,1.1,32.9,70%,0.10,2,0.5,1.8,0,0.6,0.1,4,0.0,0,0,0.00,0.00,17%,6.1
46,Hanno Behrens,Nürnberg,Germany,30,2643,4,1,3,0,56%,45%,45%,1.5,44.0,1.1,30.9,68%,0.04,2,0.3,0.1,2,1.3,0.3,4,0.0,0,0,0.14,0.07,23%,6.2
47,Ishak Belfodil,Hoffenheim,Algeria,28,1862,16,3,3,0,78%,48%,45%,0.6,37.4,0.1,21.1,72%,0.14,8,1.8,0.9,0,4.3,1.7,5,0.0,0,3,0.77,0.77,41%,6.9
48,Stefan Bell,Mainz,Germany,29,2250,0,0,7,0,65%,68%,57%,4.8,62.4,2.2,48.0,80%,0.00,1,0.6,0.4,0,0.7,0.2,5,0.0,0,1,0.00,0.00,24%,6.5
49,Karim Bellarabi,Leverkusen,Germany,30,1060,5,4,4,1,46%,24%,37%,0.4,60.0,0.9,35.7,75%,0.34,7,1.7,5.4,0,3.6,0.9,4,0.0,0,0,0.42,0.42,26%,6.6
50,Sven Bender,Leverkusen,Germany,31,1995,0,0,3,0,62%,61%,60%,4.3,89.2,2.4,75.4,91%,0.00,0,0.2,0.0,0,0.6,0.1,7,0.0,0,0,0.00,0.00,21%,6.9
