,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
466,Matteo Scozzarella,Parma,Italy,32,925,0,3,2,0,65%,38%,50%,2.4,62.5,2.7,42.8,81%,0.29,1,0.5,4.3,0,0.4,0.1,4,0.0,0,0,0.00,0.00,25%,6.6
467,Ken Sema,Udinese,Sweden,27,2466,2,1,6,0,72%,48%,52%,1.2,53.5,0.7,26.6,78%,0.04,6,1.8,6.0,0,0.6,0.1,12,0.0,0,0,0.07,0.07,25%,6.4
468,Alessandro Semprini,Brescia,Italy,22,626,1,0,2,0,46%,55%,61%,2.2,61.7,1.3,37.1,77%,0.00,0,0.9,2.0,0,0.3,0.1,1,0.0,0,0,0.14,0.14,50%,5.9
469,Stefano Sensi,Inter,Italy,25,727,3,2,2,0,56%,43%,50%,0.4,83.1,1.1,57.7,87%,0.25,1,1.5,5.5,0,3.6,1.2,5,0.0,0,2,0.37,0.37,34%,6.9
470,Luigi Sepe,Parma,Italy,29,3060,0,0,1,0,-,94%,85%,0.3,38.7,0.0,29.9,73%,0.00,1,0.0,0.0,0,0.0,0.0,5,4.1,3,6,0.00,0.00,0%,6.9
471,Evgen Shakhov,Lecce,Ukraine,29,1076,1,2,3,0,58%,40%,44%,0.8,46.4,1.2,32.1,84%,0.17,3,0.8,0.3,0,1.2,0.5,2,0.0,0,0,0.08,0.08,43%,6.1
472,Luca Siligardi,Parma,Italy,32,331,0,1,0,0,50%,70%,60%,0.3,62.8,0.8,36.2,73%,0.27,0,2.2,4.6,0,3.0,0.8,1,0.0,0,0,0.00,0.00,27%,6.1
473,Mário Rui,Napoli,Portugal,29,1968,0,2,8,0,55%,55%,61%,1.5,105.7,1.0,78.0,85%,0.09,8,1.1,5.8,0,1.4,0.4,2,0.0,0,1,0.00,0.00,29%,6.8
474,Lyanco,Torino,Brazil,23,1181,0,0,5,0,55%,51%,57%,3.8,65.8,1.8,50.3,85%,0.00,1,0.7,0.4,0,0.4,0.0,2,0.0,0,0,0.00,0.00,0%,6.2
475,Marco Silvestri,Verona,Italy,29,3150,0,0,2,0,-,100%,94%,0.7,33.5,0.1,25.9,42%,0.00,0,0.0,0.0,0,0.0,0.0,9,3.4,0,1,0.00,0.00,0%,6.5
476,Giovanni Simeone,Cagliari,Argentina,25,2937,12,3,4,0,58%,27%,34%,0.5,30.9,0.4,14.3,70%,0.09,5,0.9,0.5,0,2.7,0.9,7,0.0,0,1,0.37,0.37,34%,6.1
477,Salvatore Sirigu,Torino,Italy,33,3240,0,0,4,0,-,100%,100%,0.4,37.4,0.1,28.9,69%,0.00,0,0.0,0.0,0,0.0,0.0,7,3.9,1,2,0.00,0.00,0%,6.6
478,Łukasz Skorupski,Bologna,Poland,29,3330,0,0,2,0,-,100%,93%,0.8,37.1,0.1,24.9,74%,0.00,0,0.0,0.0,0,0.0,0.0,2,3.4,1,3,0.00,0.00,0%,6.5
479,Andreas Skov Olsen,Bologna,Denmark,20,748,1,0,2,0,67%,50%,42%,0.4,65.6,1.0,38.2,80%,0.00,0,1.4,6.7,0,2.4,0.8,1,0.0,0,0,0.12,0.12,35%,6.1
480,Simon Skrabb,Brescia,Finland,25,254,0,0,1,0,86%,13%,37%,0.4,49.8,0.0,30.2,76%,0.00,1,1.1,2.5,0,1.1,0.4,0,0.0,0,0,0.00,0.00,33%,5.9
481,Milan Škriniar,Inter,Slovakia,25,2628,0,0,8,0,55%,52%,49%,2.8,78.9,0.9,68.6,92%,0.00,0,0.2,0.0,0,0.4,0.1,11,0.0,0,0,0.00,0.00,31%,6.7
482,Chris Smalling,Roma,England,30,2566,3,2,3,0,66%,68%,65%,4.1,62.7,2.1,50.4,91%,0.07,0,0.2,0.1,0,0.7,0.2,6,0.0,0,2,0.11,0.11,26%,6.8
483,Roberto Soriano,Bologna,Italy,29,2480,5,5,4,2,61%,33%,43%,0.8,54.8,0.7,41.4,87%,0.18,10,1.0,1.1,0,1.3,0.6,2,0.0,0,1,0.18,0.18,43%,6.7
484,Riccardo Sottil,Fiorentina,Italy,21,504,0,0,3,0,80%,40%,57%,0.0,55.0,0.0,29.5,86%,0.00,1,3.0,4.1,0,2.9,1.4,2,0.0,0,0,0.00,0.00,50%,6.1
485,Adama Soumaoro,Genoa,France,28,637,1,0,2,0,67%,77%,68%,4.5,54.9,1.1,45.7,92%,0.00,0,0.0,0.0,0,0.1,0.1,2,0.0,0,1,0.14,0.14,100%,6.5
486,Rômulo,Brescia,Italy,33,1745,1,3,3,0,61%,39%,49%,0.4,41.0,0.4,25.8,83%,0.15,2,1.2,1.9,0,0.9,0.4,4,0.0,0,1,0.05,0.05,41%,6.1
