,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Brahim Diaz,Real Madrid,Spain,21,377,1,1,0,0,78%,0%,51%,0.0,64.9,0.0,38.9,86%,0.24,3,4.1,0.9,0,1.7,1.2,2,0.0,0,0,0.24,0.24,71%,6.8
1,Antonio Adan,Atletico Madrid,Spain,33,90,0,0,1,0,-,-,-,0.0,29.0,0.0,22.0,50%,0.00,0,0.0,0.0,0,0.0,0.0,0,5.0,0,0,0.00,0.00,0%,6.5
2,Aritz Aduriz,Athletic,Spain,39,939,2,0,5,0,26%,47%,40%,0.3,31.4,0.0,22.1,62%,0.00,0,0.2,0.6,2,1.8,1.1,4,0.0,0,0,0.19,0.00,58%,5.9
3,Luis Advíncula,Rayo Vallecano,Peru,30,2391,1,3,4,0,73%,44%,54%,2.1,59.9,0.7,35.4,82%,0.12,6,1.5,2.0,0,0.6,0.2,4,0.0,0,2,0.04,0.04,29%,6.4
4,Uche Agbo,Rayo Vallecano,Nigeria,24,373,0,0,2,0,57%,57%,45%,0.2,57.9,1.4,48.7,91%,0.00,0,0.7,0.0,0,0.2,0.0,2,0.0,0,0,0.00,0.00,0%,6.2
5,Nolito,Sevilla FC,Spain,34,74,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,2,0,0,0,0,0,-,6.0
6,Juan Aguilera,Huesca,Spain,35,345,0,0,1,0,100%,45%,52%,0.5,58.4,1.0,47.7,89%,0.00,0,0.3,0.5,0,0.8,0.3,0,0.0,0,0,0.00,0.00,33%,6.2
7,Martín,Alavés,Spain,24,2033,0,0,4,0,65%,42%,56%,2.8,56.2,1.1,31.9,69%,0.00,0,1.1,1.9,0,0.1,0.0,5,0.0,0,0,0.00,0.00,0%,6.1
8,Carlos Akapo,Huesca,Equatorial Guinea,27,1024,0,0,2,0,53%,60%,56%,2.9,52.9,1.9,30.6,76%,0.00,0,0.7,0.6,0,0.6,0.1,1,0.0,0,0,0.00,0.00,14%,6.4
9,Sergio Akieme,Rayo Vallecano,Spain,22,180,0,1,0,0,100%,14%,42%,2.5,57.0,0.5,32.5,85%,0.50,0,1.0,4.0,0,0.0,0.0,0,0.0,0,0,0.00,0.00,0%,6.4
