,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Rolando Aarons,Verona,England,24,519,0,0,0,0,62%,36%,45%,0.2,34.5,0.3,18.4,78%,0.00,1,1.4,1.9,0,0.5,0.0,2,0.0,0,0,0.00,0.00,0%,5.6
1,Ignazio Abate,Milan,Italy,34,1056,1,0,3,0,85%,59%,54%,1.8,75.5,0.7,53.6,83%,0.00,0,0.0,2.6,0,0.3,0.2,4,0.0,0,0,0.08,0.08,50%,6.4
2,Francesco Acerbi,Sassuolo,Italy,32,3420,0,0,3,0,66%,71%,67%,6.4,58.5,2.5,42.3,85%,0.00,1,0.5,0.3,0,0.4,0.1,10,0.0,0,3,0.00,0.00,13%,6.9
3,Afriyie Acquah,Torino,Ghana,28,934,1,0,4,0,88%,43%,45%,1.0,58.8,1.7,44.8,87%,0.00,1,1.5,1.2,0,0.9,0.3,7,0.0,0,0,0.10,0.10,33%,6.2
4,Claud Adjapong,Sassuolo,Italy,22,1219,0,1,5,1,74%,48%,52%,2.2,55.2,1.8,30.8,73%,0.07,3,0.7,2.1,0,1.0,0.3,4,0.0,0,0,0.00,0.00,29%,6.2
5,Arlind Ajeti,Crotone,Albania,27,1268,0,1,7,0,55%,43%,54%,5.7,41.7,2.4,25.7,78%,0.07,1,0.3,0.1,0,0.6,0.0,3,0.0,0,1,0.00,0.00,0%,6.2
6,Ali Adnan,Udinese,Iraq,26,1669,1,2,4,0,67%,61%,61%,3.9,66.1,2.3,33.5,71%,0.11,5,1.4,4.7,0,0.7,0.2,6,0.0,0,1,0.05,0.05,25%,6.5
7,Raul Albiol,Napoli,Spain,35,2742,3,1,7,0,73%,63%,61%,4.2,91.7,1.1,82.1,90%,0.04,1,0.1,0.1,0,0.6,0.2,18,0.0,0,2,0.10,0.10,41%,7.2
8,Rafinha,Inter,Brazil,27,1047,2,3,1,0,71%,41%,57%,0.3,83.7,0.7,63.0,90%,0.26,4,3.5,1.6,0,1.3,0.7,8,0.0,0,3,0.17,0.17,53%,7.0
9,Nani,Lazio,Portugal,33,372,3,3,2,0,67%,38%,41%,0.0,72.3,0.5,45.6,81%,0.73,1,1.9,3.9,0,3.4,1.9,4,0.0,0,0,0.73,0.73,57%,6.3
10,Ricky Álvarez,Sampdoria,Argentina,32,257,1,1,0,0,50%,43%,36%,0.7,83.0,1.1,54.3,81%,0.35,0,1.1,7.7,0,3.5,1.1,5,0.0,0,0,0.35,0.35,30%,6.2
11,Joachim Andersen,Sampdoria,Denmark,24,545,0,0,0,0,75%,89%,81%,6.8,82.6,1.5,69.2,87%,0.00,0,0.0,0.0,0,0.5,0.0,0,0.0,0,0,0.00,0.00,0%,6.6
12,Felipe Anderson,Lazio,Brazil,27,1151,4,7,0,0,62%,20%,49%,0.4,84.3,0.9,46.5,77%,0.55,7,6.0,5.8,0,2.0,0.8,6,0.0,0,2,0.32,0.32,38%,7.0
13,Nicolas,Verona,Brazil,32,3240,0,0,2,1,160%,90%,76%,0.9,48.1,0.1,33.1,53%,0.00,0,0.0,0.0,0,0.0,0.0,7,4.6,2,2,0.00,0.00,0%,6.7
14,Marco Andreolli,Cagliari,Italy,34,1826,0,0,5,0,68%,61%,55%,6.5,54.4,1.5,42.0,81%,0.00,0,0.1,0.2,0,0.2,0.1,5,0.0,0,0,0.00,0.00,50%,6.4
15,Gabriele Angella,Udinese,Italy,31,891,0,0,3,0,87%,64%,60%,6.5,64.1,2.1,49.2,83%,0.00,0,0.1,0.2,0,0.4,0.1,3,0.0,0,0,0.00,0.00,25%,6.5
16,Cristian Ansaldi,Torino,Argentina,34,1868,1,3,6,0,69%,30%,58%,2.2,65.8,1.2,35.9,74%,0.14,9,2.3,3.8,0,0.9,0.3,6,0.0,0,2,0.05,0.05,33%,6.5
