,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
106,Ángel Correa,Atletico Madrid,Argentina,25,2264,8,4,4,0,71%,16%,38%,0.6,58.7,1.0,33.8,74%,0.16,4,2.8,1.2,0,1.9,1.1,23,0.0,0,2,0.32,0.32,57%,6.5
107,Luisinho,Deportivo,Portugal,35,2622,1,1,12,0,70%,45%,63%,3.2,71.3,1.9,40.6,80%,0.04,4,1.5,3.0,0,0.6,0.1,5,0.0,0,1,0.04,0.04,25%,6.6
108,Jaume Costa,Villarreal,Spain,32,2549,0,0,14,0,64%,47%,55%,2.6,69.7,1.6,45.9,83%,0.00,1,0.9,2.4,0,0.4,0.1,10,0.0,0,0,0.00,0.00,25%,6.4
109,Philippe Coutinho,Barcelona,Brazil,28,1304,8,5,1,0,52%,45%,50%,0.2,81.3,0.4,56.2,87%,0.34,5,3.2,3.5,0,2.6,1.4,6,0.0,0,2,0.55,0.55,54%,7.4
110,Juan Cruz,Málaga,Spain,20,6,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
111,Cuéllar,Leganés,Spain,36,3150,0,0,4,0,75%,81%,83%,0.9,37.5,0.1,29.4,41%,0.00,0,0.0,0.0,0,0.0,0.0,14,2.8,1,1,0.00,0.00,0%,6.3
112,Willian José,Real Sociedad,Brazil,28,2779,15,4,4,0,72%,46%,43%,1.0,40.3,0.2,27.3,75%,0.13,9,0.6,0.5,3,2.9,0.9,8,0.0,0,0,0.49,0.39,33%,6.6
113,Diego Costa,Atletico Madrid,Spain,32,1048,3,3,7,0,65%,43%,38%,0.2,46.5,0.4,26.9,75%,0.26,5,1.3,0.2,0,2.1,0.9,9,0.0,0,0,0.26,0.26,40%,6.4
114,Sidnei,Deportivo,Brazil,31,1780,1,1,4,0,68%,58%,65%,5.0,52.4,1.6,38.7,84%,0.05,2,0.8,0.2,0,0.4,0.1,2,0.0,0,0,0.05,0.05,25%,6.7
115,Sergi Darder,Espanyol,Spain,26,2790,1,2,7,0,67%,43%,51%,1.4,61.1,1.6,46.6,83%,0.06,4,1.1,1.5,0,0.9,0.3,12,0.0,0,1,0.04,0.04,28%,6.6
116,Gabriel Paulista,Valencia,Brazil,29,2584,0,0,6,0,58%,69%,68%,4.7,60.0,1.8,47.6,87%,0.00,0,0.2,0.0,0,0.6,0.1,9,0.0,0,1,0.00,0.00,25%,6.9
