,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
0,Ismael Aaneba,Strasbourg,France,21,206,0,0,3,0,58%,14%,44%,3.1,73.8,3.5,36.9,64%,0.00,1,0.9,4.8,0,0.0,0.0,2,0.0,0,0,0.00,0.00,0%,6.6
1,Yunis Abdelhamid,Stade de Reims,Morocco,33,3420,0,0,2,0,54%,60%,64%,4.8,55.5,1.7,42.2,83%,0.00,0,0.6,0.0,0,0.5,0.2,14,0.0,0,3,0.00,0.00,30%,6.7
2,Mehdi Abeid,Dijon,Algeria,28,2027,3,0,6,0,70%,40%,43%,0.9,64.8,1.3,45.9,86%,0.00,2,1.4,1.1,1,1.6,0.5,5,0.0,0,1,0.14,0.09,30%,6.6
3,Charles Abi,Saint-Étienne,France,20,29,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
4,Khaled Adénon,Amiens,Benin,35,1995,0,0,7,0,74%,46%,49%,4.5,55.8,1.4,43.7,86%,0.00,0,0.1,0.0,0,0.4,0.0,6,0.0,0,0,0.00,0.00,0%,6.3
5,Yacine Adli,PSG,France,20,213,0,0,1,0,43%,67%,46%,0.4,84.5,0.8,58.7,78%,0.00,1,3.8,3.8,0,0.4,0.0,1,0.0,0,0,0.00,0.00,0%,6.2
6,Nayef Aguerd,Dijon,Morocco,24,1051,3,0,4,1,71%,60%,55%,4.7,66.0,1.2,49.4,78%,0.00,0,0.5,0.3,0,0.9,0.3,2,0.0,0,1,0.26,0.26,40%,6.5
7,Ruben Aguilar,Montpellier,France,27,2531,1,4,8,0,59%,48%,55%,1.6,74.7,1.4,43.9,83%,0.14,2,1.3,4.1,0,0.5,0.1,10,0.0,0,2,0.04,0.04,31%,6.7
8,Jean-Eudes Aholou,Monaco,Côte d’Ivoire,26,1075,0,1,2,0,60%,47%,48%,1.0,58.5,1.4,45.5,85%,0.08,1,0.8,0.4,0,1.1,0.3,5,0.0,0,0,0.00,0.00,23%,6.5
9,Youssef Aït Bennasser,Monaco,Morocco,24,2012,0,2,2,0,52%,45%,56%,1.0,74.7,1.6,61.5,87%,0.09,2,1.1,0.3,0,0.7,0.1,7,0.0,0,2,0.00,0.00,13%,6.8
10,Rayan Aït Nouri,Angers,France,19,54,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4.5
11,Ludovic Ajorque,Strasbourg,Reunion,26,1536,9,1,5,0,77%,62%,52%,0.6,39.6,0.3,26.5,75%,0.06,1,0.7,0.3,0,2.7,1.0,6,0.0,0,3,0.53,0.53,37%,6.5
12,Sofiane Alakouch,Nimes,France,22,1902,1,0,4,0,56%,42%,58%,2.1,69.2,2.2,38.0,74%,0.00,2,1.0,1.9,0,0.6,0.1,5,0.0,0,1,0.05,0.05,23%,6.4
13,Alexis Alégué,Nantes,France,23,4,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
14,Rachid Alioui,Nimes,Morocco,28,1238,5,0,1,0,46%,38%,43%,0.7,40.6,0.7,25.9,72%,0.00,2,0.5,1.4,0,3.8,1.4,8,0.0,0,1,0.36,0.36,38%,6.2
15,Bobby Allain,Dijon,France,28,1170,0,0,1,0,-,81%,75%,1.6,44.1,0.0,30.0,58%,0.00,0,0.0,0.0,0,0.0,0.0,1,4.4,0,2,0.00,0.00,0%,7.0
16,Mickaël Alphonse,Dijon,Guadeloupe,31,566,1,0,0,0,60%,84%,69%,4.0,62.5,1.8,35.5,65%,0.00,0,0.6,3.5,0,0.5,0.2,1,0.0,0,0,0.16,0.16,33%,6.1
17,Dani Alves,PSG,Brazil,37,1625,1,7,4,0,55%,45%,43%,0.4,100.8,0.5,80.4,86%,0.39,15,0.9,3.4,0,1.5,0.3,8,0.0,0,1,0.05,0.05,22%,7.2
18,Lima,Nantes,Brazil,29,2495,0,4,6,0,61%,46%,46%,1.9,78.6,1.1,44.5,73%,0.14,9,0.9,7.8,0,0.8,0.2,5,0.0,0,0,0.00,0.00,24%,6.6
19,Carlos Vinícius,Monaco,Brazil,25,511,2,1,3,0,24%,38%,39%,0.3,37.0,0.2,16.8,57%,0.17,1,1.9,0.7,0,3.0,0.9,5,0.0,0,0,0.35,0.35,29%,6.1
20,Romain Amalfitano,Dijon,France,31,2529,0,0,3,1,71%,33%,41%,1.3,53.6,1.8,37.0,79%,0.00,1,1.0,0.9,0,0.7,0.1,4,0.0,0,0,0.00,0.00,21%,6.1
21,Jordan Amavi,Marseille,France,26,2177,0,2,7,2,69%,67%,58%,3.3,72.3,2.0,39.9,79%,0.08,3,1.0,3.4,0,1.0,0.1,6,0.0,0,1,0.00,0.00,13%,6.6
22,Kelvin Amian Adou,Toulouse,France,22,2880,0,1,6,0,68%,49%,53%,3.2,50.9,1.1,30.3,78%,0.03,2,0.8,0.7,0,0.6,0.1,8,0.0,0,0,0.00,0.00,22%,6.3
23,Yanis Ammour,Montpellier,France,21,1,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
